# Prot. vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file:  C:\Users\Francis Motta\PycharmProjects\biochron\proteomics\data\wild-type_linearSpline_time-series.tsv 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
FKH1_2_p_r1	0.42298850574712643	0.4014778325123153	0.3968253968253968	0.38461538461538464	0.3507692307692308	0.3466666666666667	0.322463768115942	0.28063241106719367	0.2813852813852814	0.30952380952380953	0.2894736842105263	0.14235609467993277	0.28063241106719367	0.0125	48.275862039999986	0.0	0.0
CDC20_1_p_r1	0.23448275862068965	0.25862068965517243	0.3148148148148148	0.42735042735042733	0.556923076923077	0.6733333333333333	0.7572463768115942	0.7944664031620553	0.7445887445887446	0.6666666666666666	0.5684210526315789	0.5599836445413656	0.23448275862068965	0.0009	0.0	1.0	1.0
CDC20_1_p_r2	0.25287356321839083	0.2881773399014778	0.36772486772486773	0.42450142450142453	0.49538461538461537	0.5766666666666667	0.677536231884058	0.7944664031620553	0.8484848484848485	0.780952380952381	0.6894736842105263	0.5956112852664577	0.25287356321839083	0.0026	0.0	0.0	0.0
MET32_1_p_r1	0.6459770114942529	0.5788177339901478	0.5291005291005291	0.50997150997151	0.4553846153846154	0.48333333333333334	0.5652173913043478	0.5968379446640316	0.5411255411255411	0.42857142857142855	0.3263157894736842	0.3196612220205687	0.3263157894736842	0.0803	68.96551719999998	0.0	0.0
MET32_1_p_r2	0.31724137931034485	0.3866995073891626	0.3968253968253968	0.46153846153846156	0.6030769230769231	0.6766666666666666	0.5797101449275363	0.48616600790513836	0.4588744588744589	0.4238095238095238	0.45263157894736844	0.3594252873563218	0.31724137931034485	0.0605	0.0	1.0	1.0
PHD1_1_p_r1	0.2574712643678161	0.19704433497536947	0.17195767195767195	0.19943019943019943	0.24615384615384617	0.31666666666666665	0.37681159420289856	0.42292490118577075	0.47619047619047616	0.5190476190476191	0.6052631578947368	0.43330548593706486	0.17195767195767195	0.0	13.793103439999996	1.0	1.0
PHD1_1_p_r2	0.30344827586206896	0.2536945812807882	0.20899470899470898	0.19658119658119658	0.2123076923076923	0.20666666666666667	0.286231884057971	0.38735177865612647	0.45021645021645024	0.4857142857142857	0.5210526315789473	0.3244714349977508	0.19658119658119658	0.0002	20.689655159999994	0.0	0.0
WHI5_1_p_r1	0.5287356321839081	0.6379310344827587	0.6375661375661376	0.5527065527065527	0.5753846153846154	0.5933333333333334	0.5615942028985508	0.4624505928853755	0.38961038961038963	0.3904761904761905	0.4105263157894737	0.24832064487236905	0.38961038961038963	0.499	55.17241375999998	0.0	0.0
WHI5_1_p_r2	0.49195402298850577	0.6059113300492611	0.6851851851851852	0.7207977207977208	0.7169230769230769	0.6666666666666666	0.5869565217391305	0.5019762845849802	0.43722943722943725	0.3761904761904762	0.23157894736842105	0.4892187734292997	0.23157894736842105	0.0007	68.96551719999998	1.0	1.0
TOS4_1_p_r1	0.17471264367816092	0.11576354679802955	0.16666666666666666	0.301994301994302	0.4584615384615385	0.6066666666666667	0.7282608695652174	0.8023715415019763	0.8398268398268398	0.7666666666666667	0.6578947368421053	0.7240632930288102	0.11576354679802955	0.0	6.896551719999998	0.0	1.0
