	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_0728400.1	0.032911	0.05517092240431297	0.0041417950711105465	0.1335909941413766	400524.67000714253
PF3D7_1149000	0.019206	0.03219630930987313	0.007115131547795237	0.22949409147415242	403793.94538805564
PF3D7_0219500	0.033065	0.05542908296006223	0.0041417950711105465	0.1335909941413766	406172.2897872686
PF3D7_0311300	0.106669	0.17881641767025186	0.0012842624885035599	0.04142307855218596	406645.4340766171
PF3D7_1214000	0.001784	0.002990639165303221	0.07414940943921601	2.3916425491628224	406827.8187620963
PF3D7_0311800	0.033279	0.05578782555051901	0.0041417950711105465	0.1335909941413766	414108.0774429475
PF3D7_1235600	0.007083	0.011873709197221256	0.019430951695460618	0.6267331216398485	415028.41239409323
PF3D7_0308800	0.019469999999999998	0.03263887026258617	0.007115131547795237	0.22949409147415242	420664.25445877993
PF3D7_0607900	0.03349	0.056141539039240414	0.0041417950711105465	0.1335909941413766	422033.1729538773
PF3D7_0623900	0.401516	0.6730882707936593	0.00034707262534643487	0.011194609164198855	431216.71254794
PF3D7_1024700	0.004509	0.007558739908269185	0.031003550035172057	1.0	439424.37500597595
PF3D7_0804400	0.060735000000000004	0.1018141646326744	0.002342695994481709	0.0755621853569682	455466.12955629383
PF3D7_0105200	0.060782	0.1018929538931953	0.002342695994481709	0.0755621853569682	456524.2723070054
PF3D7_0218000	0.004574	0.007667703779202319	0.031003550035172057	1.0	458480.6941394918
PF3D7_1476300	0.111376	0.18670707829305586	0.0012842624885035599	0.04142307855218596	462886.9688531176
PF3D7_0213200	0.002927	0.004906726926481238	0.04842673411795435	1.561973840512345	468890.0985698209
PF3D7_0114100	0.034868	0.058451573103022826	0.0041417950711105465	0.1335909941413766	476290.13432690577
PF3D7_1345500	0.007451	0.0124906123434273	0.019430951695460618	0.6267331216398485	482808.62202091364
PF3D7_1027700.1	0.007490000000000001	0.01255599066598718	0.019430951695460618	0.6267331216398485	490397.2769115795
PF3D7_0929100	0.020635	0.034591838103156934	0.007115131547795237	0.22949409147415242	500733.30851707375
PF3D7_0809100	0.215846	0.3618371643912776	0.0006803297011630345	0.0219436064705891	501611.9045706514
PF3D7_0404900	0.858197	1.4386533406646462	0.0001698261780107018	0.005477636522851159	505692.66494071693
PF3D7_1304600	0.11563399999999999	0.19384505002279864	0.0012842624885035599	0.04142307855218596	518031.1219709364
PF3D7_0610000	0.020904	0.035042780892095594	0.007115131547795237	0.22949409147415242	520561.4204054204
PF3D7_1002200	0.875067	1.4669336560899071	0.0001698261780107018	0.005477636522851159	536104.6683307339
PF3D7_1469700	0.001968	0.0032990907384062448	0.07414940943921601	2.3916425491628224	536346.9094036977
PF3D7_0609900	0.878934	1.473416168226806	0.0001698261780107018	0.005477636522851159	543243.4047612498
PF3D7_1475300	0.021237	0.03560101118472226	0.007115131547795237	0.22949409147415242	545823.581215963
PF3D7_0513800	0.004961999999999999	0.008318134270310867	0.031003550035172057	1.0	583861.7221488996
PF3D7_0928600	0.013047	0.021871563447147496	0.011903316453167643	0.3839339830330364	593361.0308138934
PF3D7_1036500	0.06650700000000001	0.11149015637153664	0.002342695994481709	0.0755621853569682	598045.3217799288
PF3D7_1150300	0.008020999999999999	0.013446141673148622	0.019430951695460618	0.6267331216398485	601779.7429750911
PF3D7_1334500	0.003192	0.005350964246439396	0.04842673411795435	1.561973840512345	604263.6291488224
PF3D7_1119900	0.917248	1.5376445028565298	0.0001698261780107018	0.005477636522851159	617427.5050173096
PF3D7_0816600	0.067237	0.11271390446047798	0.002342695994481709	0.0755621853569682	617954.1480504824
PF3D7_1363700	0.03805	0.06378577367701098	0.0041417950711105465	0.1335909941413766	618919.3937088302
PF3D7_1348200	0.921501	1.5447740927500468	0.0001698261780107018	0.005477636522851159	626055.8569134208
PF3D7_1234300	0.008199	0.013744535042780892	0.019430951695460618	0.6267331216398485	642587.1901428916
PF3D7_1333500	0.038671	0.06482679773623368	0.0041417950711105465	0.1335909941413766	649715.0342455405
PF3D7_1226300	0.938591	1.5734232089692353	0.0001698261780107018	0.005477636522851159	661538.0066119501
PF3D7_1236700	0.038933999999999996	0.06526768232170159	0.0041417950711105465	0.1335909941413766	663059.3304214771
PF3D7_1443400	0.008316	0.013940670010460534	0.019430951695460618	0.6267331216398485	670392.1909316945
PF3D7_0925600	0.23800500000000002	0.3989837861760052	0.0006803297011630345	0.0219436064705891	672501.8352448805
PF3D7_0303500	0.039178	0.06567671592951213	0.0041417950711105465	0.1335909941413766	675601.8609465462
PF3D7_0411200	0.238477	0.39977503151570426	0.0006803297011630345	0.0219436064705891	676510.7776131246
PF3D7_0516000	0.23879499999999998	0.4003081162996541	0.0006803297011630345	0.0219436064705891	679220.680754917
PF3D7_0800200	0.039258	0.06581082530912212	0.0041417950711105465	0.1335909941413766	679748.3368630233
PF3D7_0316600	0.947925	1.5890704208352333	0.0001698261780107018	0.005477636522851159	681471.3026095153
PF3D7_1327300	0.469021	0.7862514416758309	0.00034707262534643487	0.011194609164198855	687327.3485720556
PF3D7_0707800	0.022956999999999998	0.03848436284633748	0.007115131547795237	0.22949409147415242	689396.0808411135
PF3D7_0504100	0.039443	0.06612095324947027	0.0041417950711105465	0.1335909941413766	689401.9732890084
PF3D7_1428200	0.965194	1.618019606791299	0.0001698261780107018	0.005477636522851159	719398.4118496212
PF3D7_0111200	0.000891	0.0014936432154064856	0.16453699804109032	5.307037350704384	721333.7480925263
PF3D7_1460900.2	0.008529	0.014297736233672184	0.019430951695460618	0.6267331216398485	723053.0720256648
PF3D7_1139300	0.973723	1.6323173430249711	0.0001698261780107018	0.005477636522851159	738638.4593103502
PF3D7_1217300	0.9755739999999999	1.6354202987956983	0.0001698261780107018	0.005477636522851159	742858.8180064643
PF3D7_1477700	0.975958	1.636064023817826	0.0001698261780107018	0.005477636522851159	743736.3629531758
PF3D7_1123800	0.040697000000000004	0.06822311777485718	0.0041417950711105465	0.1335909941413766	757257.9926321459
PF3D7_1303800	0.005429	0.009100997773784298	0.031003550035172057	1.0	762920.6648144966
PF3D7_0824200	0.00543	0.009102674141029424	0.031003550035172057	1.0	763338.9695774239
PF3D7_0803500	0.985188	1.6515368934903307	0.0001698261780107018	0.005477636522851159	765037.929628435
PF3D7_1309300	0.986883	1.6543783359708182	0.0001698261780107018	0.005477636522851159	768993.4323488829
PF3D7_0932000	0.488716	0.8192674945685702	0.00034707262534643487	0.011194609164198855	777600.2239897258
PF3D7_0315500	0.023915000000000002	0.04009032266716734	0.007115131547795237	0.22949409147415242	779312.344188783
PF3D7_1337100	0.07283099999999999	0.12209150282970793	0.002342695994481709	0.0755621853569682	785371.3213580493
PF3D7_0907900	0.008777	0.014713475310463216	0.019430951695460618	0.6267331216398485	787764.3578629704
PF3D7_0936500	0.041288	0.06921385081672612	0.0041417950711105465	0.1335909941413766	790725.171293657
PF3D7_1461300	0.9963879999999999	1.6703122066357323	0.0001698261780107018	0.005477636522851159	791427.4136443961
PF3D7_1454400	0.996711	1.6708536732559076	0.0001698261780107018	0.005477636522851159	792197.3362165216
PF3D7_0813700	0.491796	0.8244307056835556	0.00034707262534643487	0.011194609164198855	792394.9016107024
PF3D7_1321900	0.996949	1.6712526486602477	0.0001698261780107018	0.005477636522851159	792764.9669917338
PF3D7_1205800	0.9973069999999999	1.6718527881340024	0.0001698261780107018	0.005477636522851159	793619.3087408385
PF3D7_0508700	0.999165	1.6749674784754447	0.0001698261780107018	0.005477636522851159	798063.1554125577
PF3D7_0309700	0.999459	1.6754603304455116	0.0001698261780107018	0.005477636522851159	798767.8424994295
PF3D7_0322900	0.9996940000000001	1.675854276748116	0.0001698261780107018	0.005477636522851159	799331.4110030406
PF3D7_1362400	0.9997370000000001	1.6759263605396564	0.0001698261780107018	0.005477636522851159	799434.5607297105
PF3D7_1424100	0.999891	1.6761845210954056	0.0001698261780107018	0.005477636522851159	799804.053481731
PF3D7_1360700	0.999959	1.6762985140680742	0.0001698261780107018	0.005477636522851159	799967.242353852
PF3D7_0317500	0.9999629999999999	1.6763052195370547	0.0001698261780107018	0.005477636522851159	799976.8423904844
PF3D7_1347500	0.999969	1.6763152777405252	0.0001698261780107018	0.005477636522851159	799991.2425894394
