,AS1501_3D7,AS1502_3D7,AS1503_3D7,AS1504_3D7,AS1505_3D7,AS1506_3D7,AS1507_3D7,AS1508_3D7,AS1509_3D7,AS1510_3D7,AS1511_3D7,AS1512_3D7,AS1513_3D7,AS1514_3D7,AS1515_3D7,AS1516_3D7
PF3D7_1446400,7.092574507,10.61074209,11.94819796,8.966951686,9.938854683,8.938777925,6.538544406,6.746563584,6.195044682,6.135451914,7.301260024,8.528716428,12.52560667,13.98264526,16.37729915,17.80880353
PF3D7_1446500,39.77389101,85.58988595,94.36844087,98.32513045,98.70848098,88.81978841,93.69372575,90.88917145,95.28502617,87.88397887,89.31745315,83.80401771,100.1675421,114.8425252,119.8466205,112.4530374
PF3D7_1446600,50.82787764,21.6412498,23.145138,28.37892402,29.66780987,31.56188927,56.83503984,60.68395423,69.71127203,95.31450769,118.2933024,134.6673123,184.220837,258.5869828,254.067868,323.2548592
PF3D7_1446700,5.76509565,7.163027169,6.157225359,6.450289268,7.263888536,9.790986719,8.07272801,11.14045901,13.97671838,15.40756317,18.22005066,22.47983248,27.5776956,40.32532237,85.52707765,96.61586132
PF3D7_1446800,8.748944555,9.489329403,12.27401206,14.47409677,12.26038042,18.34704443,20.32185949,16.08261774,18.84680848,24.64241054,30.69713271,38.96187481,59.71767448,78.93136073,88.35384644,95.63645074
PF3D7_1446900,46.70734,118.0697694,105.9147143,96.44810534,106.8426878,108.5841712,113.6668052,128.48061,102.5434101,110.9636246,148.5985954,148.8451699,158.751862,155.6776767,184.9508071,204.5166572
PF3D7_1447000,1567.813345,2389.433252,2841.761383,3411.473428,3610.93303,3492.780373,4218.373059,4138.626651,3864.543198,4194.961049,4573.769183,4634.470828,4481.676716,3619.190205,2827.995019,2668.264366
PF3D7_1447100,38.99265422,116.8387317,121.9138947,97.82832807,94.18728008,96.90463965,79.2854876,79.02347705,100.0617625,75.59252878,74.51660202,61.02228461,55.20922834,68.7995112,173.4654107,166.0719833
PF3D7_1447200,113.8081665,293.2401082,310.174043,282.4142067,282.3208338,253.269614,204.4035339,181.1987817,185.6284949,162.3443149,149.7523887,139.3544381,141.0402146,145.7464878,179.8154148,181.761304
PF3D7_1447300,17.62151821,34.41225079,19.50696176,19.08803875,21.02629122,23.46672354,23.31887961,17.18041663,22.65844178,20.95585621,29.52280856,34.46094788,43.10717802,63.34473617,73.26136537,76.88683615
PF3D7_1447400,4.062803628,12.66127695,17.61183196,17.7331328,26.58954361,42.59967484,28.11059249,38.46551769,27.40795717,33.49538053,35.97192366,37.13521392,32.28829644,22.01078636,33.37238325,31.98682188
PF3D7_1447500,4.410480169,4.783719784,2.831740831,3.675125026,3.612662798,1.681642337,3.077625212,1.455312653,1.154114907,1.369075554,3.090550314,1.641186139,1.711215886,3.845289901,3.004912627,2.99593534
PF3D7_1447600,0.83394884,3.101219234,0.885682529,1.559991595,2.300217092,3.747512379,1.219277748,1.729674874,2.194710315,2.092088522,1.836597523,1.773263712,2.247908703,1.482234034,1.785706274,0.192472585
PF3D7_1447700,7.457954805,7.537560062,8.505650877,11.83713739,13.09044829,18.92766894,21.68394829,27.86944945,28.29768621,31.00519918,33.46093874,26.11195439,33.31448759,38.17868994,46.19266694,55.89729331
PF3D7_1447800,6.159074025,20.56450157,29.08248013,28.0705322,33.73543688,32.15178277,26.18050292,25.30757209,20.55828892,19.45339327,26.48734518,23.28874442,32.40173434,31.17776471,33.05170172,35.93745041
PF3D7_1447900,14.2509362,23.54169978,28.02005735,27.03457824,39.6801287,46.68608268,49.34208876,61.24736542,67.95090784,86.24031116,118.6511681,150.5502621,178.2814565,170.5559705,170.3045891,154.8758352
PF3D7_1448000,38.75117132,122.4263272,126.6323337,108.1258375,117.6461294,117.452207,96.47555656,89.45211521,74.79451495,70.98745647,83.58533805,76.46435419,72.64479882,66.17063672,77.90111815,63.90285913
PF3D7_1448100,2.966232025,11.26037936,15.98747341,8.027058791,13.36316596,16.17293778,9.974616211,12.70428545,4.439809388,7.017510081,12.82911263,10.5961554,9.394685499,9.226150618,10.40778527,7.188261846
PF3D7_1448200,0.818847151,1.236433812,1.181692746,0.851468486,1.022996301,0.681817497,0.545781565,0.734287826,0.845745348,0.975075411,1.072574306,1.577279139,1.752778144,1.960142963,1.640853848,1.682819544
PF3D7_1448300,15.13645441,38.13441994,54.61888727,54.58437825,64.85286048,67.08518831,63.37549869,64.26995698,56.76741199,59.11091499,70.77648822,72.4640652,95.73358278,108.1195847,132.6532005,140.418011
PF3D7_1448400,6.329006101,9.177473507,8.547875939,7.118346623,8.102595698,10.55344057,9.727235956,14.41476934,18.7381121,21.78549509,27.3506448,33.72031614,43.83748629,50.10745502,89.35543107,93.29272701
PF3D7_1448500,5.084145709,6.31432231,5.675348464,5.308041576,6.640104867,7.798871646,8.379660857,10.75320896,13.28836379,14.81885057,18.74095067,23.2862789,39.04742085,53.98945786,68.55079047,78.26584672
PF3D7_1448600,15.39287572,39.30788596,42.28541297,34.41726338,35.72279404,42.11967851,34.46894079,37.88396559,32.61283365,35.78423153,42.44098895,43.6083246,43.18816721,37.37680703,69.86368083,67.07063373
PF3D7_1448700,6.571003219,30.77387509,29.5690681,18.57604362,24.64583902,27.92457727,17.56010279,15.73175549,13.12719321,16.04769698,22.51084469,22.54062399,17.4384386,17.09968494,20.22018302,18.10337203
PF3D7_1448800,5.590206508,9.47026777,11.39902613,8.458621092,10.75906182,10.60651245,8.718059208,10.66696197,9.623965517,14.23165142,14.04395371,16.87913217,19.94769011,21.80368073,42.94733598,49.84475928
PF3D7_1448900,7.649756274,12.72225317,8.530521201,8.681216383,9.846543339,17.24513153,10.90474347,17.21481677,17.17505211,12.68710992,28.49948261,27.0422716,48.97229675,63.64829959,123.7819122,136.5643641
PF3D7_1449000,2.860210077,3.714267034,1.649005705,1.171977621,0.751342664,1.468904451,1.024109365,1.016965468,1.411357387,1.195879249,1.999686727,0.868828003,1.52096022,1.512989894,2.227080187,2.35759592
PF3D7_1449100,7.422491671,7.632277842,5.287266733,4.865760191,4.268428739,5.001049206,4.910256406,9.833957343,11.37307409,13.89061019,17.91068924,15.71077216,20.94556226,28.42699423,40.32165745,53.59744831
PF3D7_1449200,420.8255457,165.9552964,113.832862,125.2564414,88.75628368,63.440446,88.21332729,172.7422274,601.8642141,906.8419884,878.3112402,786.1125466,776.8752564,981.2619107,1570.821252,2336.424709
PF3D7_1449300.1,141.9504409,264.9668634,221.9745394,172.2409873,166.0270952,159.2067264,121.6073806,109.1452621,93.88514165,79.01307626,73.3798911,59.59563972,60.05361937,61.79545485,74.85462672,74.79849928
PF3D7_1449400,2.022494524,3.602377129,4.145439863,3.37147869,4.30941091,4.624681682,4.861500292,4.661691355,6.433374017,6.43214882,9.081596137,11.65028682,18.56224581,26.88083469,41.16721708,50.08312186
PF3D7_1449500,8.749141638,28.18240198,37.66773161,37.31953077,49.85431412,55.17008169,43.4205922,41.08412661,33.67968426,34.47887851,39.70858369,40.0346479,46.58295937,48.32303767,81.48860632,78.44709446
PF3D7_1449600,6.562127561,26.1389453,19.38539828,9.321232945,10.15071379,11.28656732,5.428286618,6.811151396,4.307933862,5.138390356,7.838573982,7.325510406,8.43034653,8.981946895,10.90261278,11.3455919
PF3D7_1449700,21.65479819,79.54825839,69.03244879,43.81074724,50.69540902,52.46165761,31.94081818,34.46479872,23.47563106,22.77234165,31.64016196,29.35882152,29.20822061,26.91812616,32.22466667,28.04581177
PF3D7_1449800,16.65755917,39.67702211,33.63006223,34.92745226,32.16168706,44.00730455,32.9498558,43.03392218,38.17008123,38.07810057,34.12723787,34.03072381,29.27332795,33.77911437,64.42222665,76.24942023
PF3D7_1449900,14.36404382,41.73054764,36.69374926,25.8223594,31.87565745,38.79243118,23.86760454,26.17642274,17.4217199,16.84100584,28.40053608,24.48871986,26.42493432,23.24484907,20.56013931,22.58646029
PF3D7_1450000,83.54467244,135.8732531,122.3266181,91.40695577,79.6969293,93.46050679,65.55454435,65.32114868,74.1740773,69.31885289,74.35811226,69.60695057,62.52519585,63.91495376,110.4778191,94.58061982
PF3D7_1450100,225.7930157,304.6760476,255.7476364,232.257527,238.2804527,246.1499775,211.0181434,205.2499183,205.7595679,188.9779061,173.4776133,159.2525312,146.5454437,160.3490245,176.4275207,162.3093264
PF3D7_1450200,12.58896899,37.90107741,37.77610333,30.171302,40.21576402,49.91961897,31.62441655,32.40076004,14.23105468,14.8496187,20.97545412,15.1607066,17.27526689,15.3066924,23.85969457,21.63270612
PF3D7_1450300,18.79755352,67.52413477,67.97623638,46.23915964,55.15314986,66.02776392,43.70292108,52.34084051,32.09732157,31.15934204,40.99519428,34.4742123,34.92527768,29.89514285,26.87182389,23.87482396
PF3D7_1450400,20.81314176,87.6889582,84.38111074,64.18924331,76.21277913,76.60416326,58.25683589,54.3048536,39.87294982,40.41794072,48.91510114,41.49706198,49.44830571,49.04695011,60.15599661,60.11685589
PF3D7_1450500,4.042253316,3.837878592,3.501605317,2.776923369,3.110531375,2.96689392,2.929299519,4.261232876,4.856493201,5.838200274,6.306811244,5.67658809,8.100858761,10.75993773,13.54266918,16.71683748
PF3D7_1450600,12.80423491,36.99838933,37.89214962,31.4393136,34.58514619,40.06949007,33.64625976,36.35435357,35.37617352,35.18401102,35.39649557,34.91580374,31.00468311,32.59906552,39.81230482,30.01099321
PF3D7_1450700,68.22572484,170.9305037,158.1997291,137.1767681,125.5664187,125.6492825,90.09977314,88.3838793,100.6235804,87.61280428,91.16542809,88.48614476,81.59420779,103.9811441,175.1842946,175.3372559
PF3D7_1450800,2.325525907,3.12955136,3.505728268,2.199241484,4.531598057,3.454373633,3.022260525,3.798366024,2.008159939,3.308599255,6.528310602,7.018971829,9.954072762,13.5289539,15.58001668,17.01115478
PF3D7_1450900,4.662708586,5.478734285,6.06614841,4.769899112,7.127021845,6.034841155,6.817129005,6.293588928,5.452397494,7.463005837,9.546624718,12.3621813,21.20905483,25.41777518,28.88865078,31.80910959
