# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_FUP_1stage_periodic_jtk05.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_FUP_1stage_periodic_jtk05.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
PF3D7_0827300	0.11666666666666667	0.1523809523809524	0.14285714285714285	0.20512820512820512	0.24242424242424243	0.2909090909090909	0.35555555555555557	0.3333333333333333	0.25	0.2857142857142857	0.4666666666666667	0.5	0.6666666666666666	1.0	1.0	0.8833333333333333	0.11666666666666667	0.6261	0.0	0.0	0.0
PF3D7_1028400	0.03333333333333333	0.13333333333333333	0.15384615384615385	0.1794871794871795	0.21212121212121213	0.21818181818181817	0.26666666666666666	0.2222222222222222	0.2857142857142857	0.38095238095238093	0.4666666666666667	0.6	0.8333333333333334	0.6666666666666666	1.0	0.9666666666666667	0.03333333333333333	0.5973	0.0	0.0	0.0
PF3D7_0403400	0.13333333333333333	0.22857142857142856	0.3076923076923077	0.3974358974358974	0.4696969696969697	0.5818181818181818	0.6666666666666666	0.75	0.7142857142857143	0.47619047619047616	0.3333333333333333	0.1	0.3333333333333333	1.0	1.0	0.9	0.1	0.6114	33.0	0.0	0.0
PF3D7_0807100	0.06666666666666667	0.10476190476190476	0.13186813186813187	0.1282051282051282	0.16666666666666666	0.2	0.24444444444444444	0.2777777777777778	0.35714285714285715	0.47619047619047616	0.6	0.8	0.8333333333333334	1.0	1.0	0.9333333333333333	0.06666666666666667	0.6046	0.0	0.0	0.0
PF3D7_1438200	0.10833333333333334	0.21904761904761905	0.3516483516483517	0.46153846153846156	0.5151515151515151	0.6545454545454545	0.7111111111111111	0.8333333333333334	0.6071428571428571	0.47619047619047616	0.5333333333333333	0.3	0.16666666666666666	0.0	0.0	0.8333333333333334	0.0	0.0	39.0	0.0	0.0
PF3D7_0420100	0.075	0.1619047619047619	0.2087912087912088	0.21794871794871795	0.2878787878787879	0.23636363636363636	0.3333333333333333	0.3611111111111111	0.39285714285714285	0.47619047619047616	0.4666666666666667	0.5	0.6666666666666666	1.0	1.0	0.925	0.075	0.605	0.0	0.0	0.0
PF3D7_0802400	0.13333333333333333	0.21904761904761905	0.37362637362637363	0.41025641025641024	0.5151515151515151	0.5454545454545454	0.5777777777777777	0.5833333333333334	0.6071428571428571	0.7619047619047619	0.8666666666666667	0.9	1.0	1.0	1.0	0.8666666666666667	0.13333333333333333	0.6209	0.0	0.0	0.0
PF3D7_0811300	0.058333333333333334	0.10476190476190476	0.17582417582417584	0.21794871794871795	0.25757575757575757	0.3090909090909091	0.37777777777777777	0.4722222222222222	0.6071428571428571	0.6666666666666666	0.7333333333333333	0.8	0.8333333333333334	0.6666666666666666	0.0	0.8333333333333334	0.0	0.0	42.0	0.0	0.0
PF3D7_1470400	0.16666666666666666	0.20952380952380953	0.32967032967032966	0.32051282051282054	0.3333333333333333	0.4	0.5333333333333333	0.4166666666666667	0.6785714285714286	0.6666666666666666	0.4666666666666667	0.4	0.3333333333333333	0.6666666666666666	1.0	0.8333333333333334	0.16666666666666666	0.6327	0.0	0.0	0.0
PF3D7_0830600	0.041666666666666664	0.06666666666666667	0.054945054945054944	0.07692307692307693	0.09090909090909091	0.10909090909090909	0.13333333333333333	0.16666666666666666	0.21428571428571427	0.2857142857142857	0.4	0.6	0.6666666666666666	0.6666666666666666	0.0	0.6666666666666666	0.0	0.0	42.0	0.0	0.0
