pro	pep	rep	conf	qc1	qc2	qc3	qc4	qc5	mean	std	cov
MSN2	2	r2	medium	0.018073097	0.018251723	0.022681153	0.021573447	0.020635021	0.0202428882	0.00203359428065807	0.100459690364642
MSN4	2	r1	high	0.023094192	0.021735692	0.021316005	0.022848351	0.022434704	0.0222857888	0.000747538428367198	0.0335432788615136
MSN4	2	r2	high	0.030159174	0.02758069	0.026397615	0.02701399	0.026315155	0.0274933248	0.00157581808350859	0.0573163884314419
MSN4	3	r1	high	0.052557162	0.047465819	0.046818361	0.045118004	0.050802683	0.0485524058	0.00304485293833966	0.0627127098682238
MSN4	3	r2	high	0.062601862	0.064785389	0.06003863	0.065205883	0.06308826	0.0631440048	0.00205462057022938	0.0325386483916741
NDD1	1	r1	high	0.029873396	0.041195229	0.037103416	0.043689908	0.036275033	0.0376273964	0.00528468165527029	0.140447709936962
NDD1	1	r2	high	0.034614418	0.031714314	0.044908492	0.037846291	0.029242236	0.0356651502	0.00608612591220722	0.1706462997654
NDD1	2	r1	high	0.022927097	0.020792887	0.019136147	0.01823595	0.018203855	0.0198591872	0.00201132274188485	0.101279207533975
NDD1	2	r2	high	0.036712981	0.033888607	0.032845468	0.033299893	0.029896446	0.033328679	0.00243831726109391	0.0731597331263537
NRM1	1	r1	high	0.008825505	0.008640141	0.00873847	0.008807624	0.007405372	0.0084834224	0.000607027562277282	0.0715545606072005
NRM1	1	r2	high	0.011946035	0.013596625	0.011852659	0.012827995	0.013756272	0.0127959172	0.000891133981769969	0.0696420559653175
NRM1	2	r1	high	0.005435987	0.009463923	0.004999302	0.006550036	0.008483322	0.006986514	0.00193142745769172	0.27645081047454
NRM1	2	r2	high	0.015970943	0.012355263	0.011523373	0.015698355	0.012412274	0.0135920416	0.0020794585041541	0.152990887267009
PCL1	1	r1	high	0.008686951	0.008017148	0.008203435	0.009315852	0.008281733	0.0085010238	0.000517034152133783	0.0608202216930369
PCL1	1	r2	high	0.009260285	0.010682303	0.009552553	0.010444464	0.009048979	0.0097977168	0.000726347232315371	0.0741343363093911
PCL1	2	r1	low	0.002952867	0.024357284	0.011322377	0	0	0.0077265056	0.0103886775430311	1.34455057445776
PCL1	2	r2	low	0.057988564	0.015862436	0.028279458	0.008912329	0.0086755	0.0239436574	0.0206289749831476	0.861563237333475
PCL2	2	r1	high	0.003995199	0.00317497	0.003583973	0.003132042	0.002994136	0.003376064	0.000410002692372257	0.121443992878173
PCL2	2	r2	high	0.004343629	0.003702358	0.003931206	0.005525476	0.004236883	0.0043479104	0.000705228086218423	0.162199314461131
PDS1	2	r1	high	0.028509966	0.024980779	0.029967846	0.029260507	0.028152271	0.0281742738	0.00191757569703068	0.0680612288587428
PDS1	2	r2	high	0.0323263	0.0303959	0.030480012	0.031301666	0.032469817	0.031394739	0.000983191997854946	0.0313170941747579
PDS1	3	r1	low	0.000827566	0.000212192	0.000158076	0.001510959	0.000168845	0.0005755276	0.000593764387803193	1.03168707774083
PDS1	3	r2	low	0	0	0.000451666	0	0.000299776	0.0001502884	0.000212682163015143	1.41516020541268
PHD1	1	r1	high	0.001550185	0.001149505	0.001502999	0.001539622	0.001768598	0.0015021818	0.000223083650500659	0.1485064261201
PHD1	1	r2	high	0.001533462	0.000728915	0.001090289	0.002077558	0.001298216	0.001345688	0.000504674138798988	0.375030570829931
PLM2	1	r1	high	0.00679491	0.007098023	0.006379448	0.00621428	0.00681787	0.0066609062	0.000357896434265836	0.0537308923920647
PLM2	1	r2	high	0.007209543	0.0076263	0.007484328	0.006801952	0.007825658	0.0073895562	0.000397774291812832	0.0538292532118278
PLM2	2	r1	high	0.006618067	0.005961573	0.005818602	0.006941255	0.005240395	0.0061159784	0.000673070291637359	0.110051123077439
PLM2	2	r2	high	0.01083917	0.008951529	0.009591014	0.008782143	0.009530517	0.0095388746	0.000807956382184274	0.0847014366017847
SIC1	1	r1	high	0.014291177	0.014908826	0.015762207	0.014912291	0.01362114	0.0146991282	0.000798127624907007	0.0542976164332662
SIC1	1	r2	high	0.013480386	0.015808616	0.013432839	0.014719135	0.014081199	0.014304435	0.000990341762230847	0.0692331967135261
SIC1	2	r1	medium	0.053820287	0.063463608	0.051437007	0.049961993	0.052540833	0.0542447456	0.00534547175374689	0.0985435860122623
SIC1	2	r2	medium	0.032275565	0.031417268	0.035001941	0.02652336	0.0239036	0.0298243468	0.00450846722392375	0.151167341707673
STB1	2	r1	high	0.027339139	0.03003517	0.028193769	0.027776582	0.021668274	0.0270025868	0.00315367662022086	0.116791648280929
STB1	2	r2	high	0.103609274	0.101784041	0.097767306	0.101263004	0.114473567	0.1037794384	0.00634139439131736	0.0611045356294524
STB1	3	r1	low	0.053439979	0.062568363	0.070677329	0.064296474	0.058639965	0.061924422	0.00643094282469398	0.10385147922243
STB1	3	r2	low	0.091540782	0.069924082	0.063195944	0.056561335	0.054811158	0.0672066602	0.0148542176910907	0.22102300050153
SWE1	1	r1	medium	0.10420353	0.000945004	0.019270916	0.08005503	0.061930751	0.0532810462	0.0426629617683542	0.800715541662059
SWE1	1	r2	high	0.00047557	0.002528814	0	0	0.001650754	0.0009310276	0.00111937414212175	1.20229963335324
SWI4	1	r1	high	0.02289557	0.021993626	0.020113496	0.022775242	0.020223533	0.0216002934	0.00135268177383182	0.0626233055626837
