ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean
PF3D7_1345100,2.3740036955220516,4.002126681603902,3.1641626717876035,4.0391369371638834,4.332048945241805,3.3922238480641704,3.8843688089492985
PF3D7_1110400,2.016038797901059,2.0318060055114766,5.200248168795115,2.6758242981760247,5.6539998456005565,4.896646098788192,3.8904695795207935
PF3D7_1225400,2.475704897333048,3.5737295166678678,3.982886085599534,3.2078395408093976,4.862639834184367,2.6756359456743217,3.906773744315292
PF3D7_1129100,1.9402365793049148,4.080265507161877,4.567092104701351,3.2787082450000296,4.0832855879243235,2.481793801779564,4.002337861196897
PF3D7_0928100,2.249350428947647,2.552138556263686,5.4009661492639225,2.2870554503551475,5.796586501631508,4.435715164802023,4.009186664378566
PF3D7_0519700,2.0380134081991987,4.061235882945175,3.7799500315925214,3.893573262409432,4.3119885294089,1.9291641393361816,4.0116869265890065
PF3D7_0220500,2.0893608757573467,2.9703432499277835,5.103180739226356,2.5121482473300976,5.49688425711354,4.783605344106788,4.0206391233994445
PF3D7_1110300,2.0806556667579432,1.8669204184642785,6.151225915137488,1.593466628073927,6.512863144060326,6.04563950436571,4.031119026434005
PF3D7_0402400,1.773844431284886,3.9781455503287457,4.114210108153898,3.720400344638695,4.363850298299672,2.483690469135984,4.0441515753552535
PF3D7_1411000.2,0.7035225028549861,3.011396637942967,4.9827694152241175,3.244194623224029,5.07515072455044,3.526100678354417,4.0783778502353885
PF3D7_0507800,2.327618034006481,3.817682666866181,4.270399443191339,3.1861886857792903,5.089305478991131,3.5762259519944863,4.0908940687069855
PF3D7_1011800,2.5906190991823577,3.530669088834153,4.9355773046097156,3.0653189047245504,4.9236917211885824,3.50715615782735,4.113814254839252
PF3D7_0804000,2.1107946022769117,4.084871645158973,4.4623857584902025,3.1848759638719364,4.728042857891652,4.34086893135963,4.115044056353192
PF3D7_0703500,1.9213222751884842,3.383356325368907,4.660257090419812,3.2256755012666485,5.234866817939117,3.9175007546767753,4.126038933748621
PF3D7_1140700,2.3286159407332323,2.6523176954810954,5.232788512929249,2.7302548512938394,6.041960882433027,4.139031975556991,4.164330485534302
PF3D7_1423700,2.55693429538704,4.078414303798532,4.655076237490089,3.450405924993621,4.7329307265572735,4.032794982594504,4.229206798209879
PF3D7_1330800,1.8709508664744752,3.1417140883863364,5.397278905858408,2.889027025019027,5.631782295734805,3.7918482535952838,4.2649505787496444
PF3D7_1457700,2.3912082268570662,3.304272663506489,5.399052471227955,2.7318818443474413,6.045450765955527,4.473790089880347,4.370164436259353
PF3D7_0913000,2.822016038600322,3.673843019289478,3.82420782924922,4.782799728952451,5.253927633298563,3.0114946721493925,4.3836945526974285
PF3D7_1038000.2,2.4781843498116927,3.894566965871897,4.723169906646371,3.9394746621695904,5.079583001537321,3.4883026825102337,4.409198634056295
PF3D7_1006700,2.4434291425251784,4.175437998177856,4.538515177597426,3.943944307985428,5.2867930831561765,3.2297049392983985,4.486172641729222
PF3D7_1477600,2.5898154745142405,3.805124002855089,4.7091849099867815,4.3316139027905285,5.626431948850047,2.3933920885703652,4.618088691120612
PF3D7_1216900,2.129506092016332,4.345256911709123,5.115797438370407,3.3412730936953343,5.689006019274411,4.2487823355927254,4.622833365762318
PF3D7_0113400,2.65681168241092,4.829321102610454,5.545534787243817,4.91221973308153,5.9538931574633285,2.5095627966523995,5.310242195099782
PF3D7_0108300,3.5321685550404816,3.996181327610561,5.6825073456337565,5.3233099962335615,6.291670320939256,4.5575484437738805,5.323417247604285
