ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean,mean
PF3D7_1114200,0.87901002216085,1.63539094739804,2.438873763904585,1.7553399562690601,2.3019739268740413,1.7098173439069042,2.0328946486114314,1.7867343267522466
PF3D7_1464900,0.954723056191092,1.9085533262733136,1.8190423982913195,2.306362394778499,2.1005378541388993,0.9628019232281108,2.033623993370508,1.675336825483539
PF3D7_0629700,0.9800918273933216,1.813360152832008,2.2710078632668,1.7398563758989007,2.31761604252774,1.7134211741045664,2.0354601086313617,1.8058922393372223
PF3D7_1102300,0.9063436687219476,1.8402362393060148,2.0314346178570006,2.0149470839374164,2.2628674262999238,1.6958907444165423,2.037371341850089,1.7919532967564742
PF3D7_0415400,0.7806555509469829,1.7464100941296858,2.176998045277849,1.841479235508264,2.3899277459919293,1.6671970371679783,2.038703780226932,1.7671112848371149
PF3D7_0822900,0.7804832749537984,0.7320789985997259,2.687061226481453,1.3498641622880858,3.3895293842146503,2.2604605631848784,2.039633442895979,1.866579601620432
PF3D7_1435700.2,0.7860663378585185,1.8498236501836962,1.7430107745907573,2.3490714139159885,2.228366466986092,0.5747585115161615,2.0425680764191334,1.5885161925085356
PF3D7_1006100,0.7592214739745453,1.9595889445900976,1.7610267785746894,2.3007046253994607,2.150300793284581,0.6817849276949057,2.0429052854622074,1.6021045905863802
PF3D7_1416100,0.9189917096411764,1.7238742694792517,1.8665146482255777,2.302685217898812,2.2902078411243214,0.8612345617336522,2.0458204941819904,1.660584708017132
PF3D7_0820900,0.6178964505239084,1.8496354018149768,2.0703551043122266,2.0274850711780816,2.2544639357287366,1.0826670608725422,2.050484878258505,1.6504171707384119
PF3D7_0405800,0.6547069471674765,1.7049280837825926,2.3866723966111167,1.6718658825509944,2.440652381799949,1.0245892095686653,2.051029686186163,1.6472358169134658
PF3D7_0929000,0.8739619239992561,2.2285892036750026,1.9192985342207296,2.113179621598302,1.9518587717187532,1.2491143179954565,2.0532315328031965,1.72266706220125
PF3D7_1309800,0.8083696236195906,1.746435901473521,1.7647861957687956,2.386984385463037,2.323271855037752,0.4964683567106361,2.0553695844357764,1.5877193863455554
PF3D7_0603300,0.6094106246004135,1.8309531415011624,1.8506264778892103,2.2588483080399246,2.2819033436753364,0.5161441846889591,2.0555828177764086,1.5579810133991678
PF3D7_1347500,0.9641510568798598,1.7870886601632958,2.0102545657467705,2.062203828363089,2.3838012436398968,2.3895233236410967,2.0608370744782634,1.9328371130723347
PF3D7_1412300,0.9106292045816062,1.6399715909038497,2.12283076559789,2.0697262490026107,2.419549143507452,1.4905140222339752,2.0630194372529504,1.775536829304564
PF3D7_1420400,0.9528652260250988,1.7452707100513551,1.960383730667025,2.1655999191980566,2.394731058840681,0.6777450224097343,2.06649635468928,1.6494326111986588
PF3D7_0406400,1.022940560441103,1.8839834296516256,2.08372617531313,2.141200183541208,2.1630380917431378,1.1849144226512145,2.0679869700622757,1.7466338105569033
PF3D7_0719300,0.9467216134085921,1.5506138922130066,2.0140360119980087,2.125129003600306,2.5833246411128123,0.7997130344646751,2.0682758872310334,1.6699230327995669
PF3D7_0503600,0.9971515700715552,0.6470797219923401,2.6348730621872485,1.4610490613931202,3.539204275106448,2.3556689535450768,2.070551530169789,1.9391711073826317
PF3D7_0602900,0.982062381488029,1.4288434343880028,1.9101463775065897,2.257572460696865,2.6898582336299297,0.7209925461273943,2.0716051265553466,1.664912572306135
PF3D7_0801500,0.9013457149939508,2.0169616766626444,2.128383212725021,2.0212837521355644,2.1327686460809505,0.8581626378152603,2.0748493219010453,1.6764842734022318
PF3D7_1038000.2,0.7721904825139952,1.7934948617508368,2.151456919307687,1.9863899972818504,2.3755943951780214,1.2342341550619165,2.0767340433795987,1.7188934685157176
PF3D7_0717900,0.6383830285313851,1.8550835126267475,2.0295653406736407,2.1568536115962713,2.2761307368148764,0.4800482797182466,2.0794083004278843,1.572677418326861
PF3D7_1468700,1.0302862317680306,2.4387180820334846,2.0861790217552763,1.9374356724849824,1.8582025435100655,2.582822713785629,2.080133829945952,1.9889407108895782
