ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean
PF3D7_1471000,0.8312366926985681,1.982591929593701,2.180118892379088,2.1033698566758288,2.2000406904651766,1.0118275652758548,2.1165303422784487
PF3D7_1143100,0.9229471393042288,0.9210922306181082,2.4955944376021044,1.676911766016218,3.3917467232459413,1.977333673317548,2.121336289370593
PF3D7_0629300,0.6137799449310772,1.0240448857408482,2.6816021941240837,1.5106963550881471,3.3592109946186937,2.06115657215962,2.143888607392942
PF3D7_0617900,0.7943880833751974,2.12195743882102,2.1495830216026173,2.127078352179664,2.2225302917060588,1.0503160386423578,2.15528727607734
PF3D7_0609100,0.9746818766158232,2.1774734279708623,2.0227525367519354,2.3806470999173217,2.0513942189407257,2.0850593312866943,2.1580668208952107
PF3D7_0109000,0.920441194054254,1.298757274765856,2.293521630599093,1.8783255315791647,3.1680545973998653,1.7945086932114842,2.1596647585859947
PF3D7_1116400,0.9975525253012192,2.2349115579688124,1.6975010748146566,2.658512397903902,2.062836564218898,1.5481811531884233,2.163440398726568
PF3D7_0621400,0.7780976255195933,1.1795591902467686,2.543231105316133,1.650738970923301,3.281374221991419,1.9274953312697232,2.163725872119405
PF3D7_1218400,1.010127018643816,1.7152682625630598,2.4558897393284664,2.0319975695491013,2.4677002914951096,1.7148937863235856,2.1677139657339346
PF3D7_0616700,0.8107361887451827,2.0031143288823405,2.293905572323804,2.1298836920477813,2.284230117668005,1.0093354256441966,2.1777834277304833
PF3D7_1143800,0.9093974861799357,1.90502530019687,2.0257513959866853,2.337900565101032,2.4554965536846005,1.0944694574570106,2.181043453742297
PF3D7_0311600,1.0248073065436099,1.798826022226487,2.292867677424317,2.0264918669180148,2.608956409963277,0.8747717843430496,2.1817854941330244
PF3D7_1202900,0.9243184164571391,2.1589676373114792,2.178305148385434,2.2749888368507776,2.1172712973187457,1.102442273509585,2.182383229966609
PF3D7_1470600,0.8845883799031912,1.9850049074154816,2.048247524973028,2.381938712887505,2.3285289494612127,0.3450658575296669,2.185930023684307
PF3D7_0209800,0.5993668358048634,2.0911728790134325,2.29979921040054,1.8997282043539208,2.465128346814005,1.9116986952083097,2.1889571601454745
PF3D7_1443500,0.5438133557794975,2.14848299075346,2.1296546710693933,2.2807477160462537,2.205775984821148,0.4773769461852762,2.191165340672564
PF3D7_1334200,1.0476541175799563,1.9824465014983823,2.2113831105634247,2.2546522460188982,2.350326050869275,0.8968976970175996,2.1997019772374946
PF3D7_1206200,1.0789660334898836,1.965746750288797,2.3337675947386067,2.034482182885527,2.48651501481934,0.8467383439125349,2.2051278856830683
PF3D7_1325800,0.6588645711654574,1.8218180600653548,2.3532178906937986,2.2019668168091946,2.4448036956836443,0.7918001037303669,2.205451615812998
PF3D7_0622800,1.09350476159536,1.6826656271283595,2.113362469653381,2.29719865825764,2.730278962184088,0.9826623933500404,2.205876429305867
PF3D7_1365800,1.0081234366486485,1.8610888777157932,1.817537771533676,2.700946041915821,2.466503781562363,1.9129458741090883,2.211519118181913
PF3D7_1467100,1.0647833032714575,1.6696004442043682,2.558642986091583,1.9676287602005769,2.6582178185571594,1.3539683405247849,2.213522502263422
PF3D7_0512700,0.9074037872214262,2.052184323746117,2.294942232484796,2.288227498087184,2.2316158124299683,0.8207595721043893,2.216742466687016
PF3D7_0112000,0.917871944286782,1.911548720703415,2.3041230098069616,2.1327104366187983,2.528809590755757,0.9303843277370994,2.219297939471233
PF3D7_1312700,1.0542517894403691,1.9979699369757984,2.519153180963681,1.904456849109528,2.4677663220295085,0.6775177168839113,2.2223365722696293
PF3D7_1445400,1.1090822559941689,1.8371274944334852,2.0474876604753702,2.523015156913892,2.4827288168233124,1.2077699180706951,2.2225897821615157
PF3D7_0104500,1.0006758741762047,1.9939421130087625,2.103003051686136,2.4410963796556078,2.4039482220057593,0.6675247772773907,2.2354974415890663
PF3D7_1367600,0.701728792619202,2.0242657787586267,2.4452740187057525,2.1115851851932943,2.3734927108949093,1.3954169765992062,2.238654423388146
PF3D7_1022000,1.0741815749164063,1.769934057617425,2.328581464254948,2.2050640268441586,2.663520437458081,1.2451663683303642,2.2417749965436533
PF3D7_1311800,0.682190658415524,1.9643602830788758,2.1470260876693703,2.4328370985857304,2.442456567900149,1.1293150373956045,2.246670009308532
PF3D7_1310800,0.9727694566099524,1.8031013000703424,2.218611216522289,2.2654322800743327,2.7056687413080884,1.32214652131641,2.2482033844937632
PF3D7_1455300,0.9132284538763996,1.1789293577555415,2.5351335803370048,1.7695542060495857,3.5126093188715584,2.009699925063192,2.2490566157534233
PF3D7_0607000,1.0054828566183271,1.8546604870706571,2.296287485182567,2.327872575492306,2.5716876814644127,1.2079397224322976,2.2626270573024856
PF3D7_1135100,0.5754236892773671,1.9984380898155163,2.080434393894643,2.475719469569878,2.506047867221996,0.7359942704007001,2.265159955125508
PF3D7_1030200,0.8201189139234144,1.1290257435288111,2.688047128747417,1.7752207848708061,3.5036294033887168,1.857116658205108,2.273980765133937
