ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean,mean
PF3D7_1351900,1.6554477916835064,2.6399882253768765,3.539812376316895,2.690144908376757,3.7694640554579215,1.9957824510597963,3.1598523913821133,2.7151066347119586
PF3D7_1364500,1.5550367704404595,2.7855890760764974,3.310554874411733,3.0997441671983057,3.4490538556144137,2.435320822433152,3.1612354933252376,2.7725499276957595
PF3D7_0931200,1.915069866455416,3.1592574535436704,3.307881688489571,2.8850261350593214,3.2944254029440487,2.4425494521541165,3.1616476700091534,2.8340349997743575
PF3D7_1336000,2.6135306047418667,2.8836468476728085,3.4721538386122384,3.258542932034261,3.0392883586181085,2.5709037846987552,3.1634079942343543,2.9730110610630063
PF3D7_1202800,2.30346190541511,2.8185413016944425,3.214168988762132,3.0529876984431072,3.593244260316661,1.6498901466271894,3.1697355623040857,2.7720490502097737
PF3D7_1249900,1.8725088495237807,2.730367226880018,2.7648360303486887,3.645381684387482,3.5553534083423233,1.5448628395745143,3.1739845874896284,2.685551673176134
PF3D7_1423700,1.5955341168812418,2.5892623357167794,3.0849727101063986,3.2497758061719697,3.791866560739643,1.4585720476100543,3.1789693531836978,2.628330596204348
PF3D7_1327700,1.9689021518747483,2.8416737252286963,3.75143912809938,2.838976695509638,3.2916837416999787,1.947833234816517,3.1809433226344237,2.773418112871493
PF3D7_1345100,1.6723908799317566,2.6969094524766755,3.0202181269124106,3.416876537576817,3.5921350272459764,2.368350138554367,3.1815347860529704,2.7944800271163337
PF3D7_1366000,2.617664840722861,3.890105889489652,3.728214115493247,2.627970336466356,2.4845700129969326,2.4386059275681156,3.182715088611547,2.9645218537895275
PF3D7_1139900,2.7602435388906583,2.7000915242198538,3.399621420158687,3.1356413877638665,3.496194886221875,2.709616048506108,3.1828873045910706,3.0335681342935086
PF3D7_0907700,1.8968475954384416,3.4606900307761514,3.7836345846686736,2.646005602168365,2.8842879140574764,1.954118172901066,3.193654532917667,2.7709306500016955
PF3D7_0902000,1.2280480961542355,3.1092721920851427,3.182298595709005,3.2004112711814936,3.2843152617626905,1.1687010512550509,3.1940743301845838,2.528841078024603
PF3D7_0304200,1.3965798950841235,2.7339597414057377,3.424294666838907,3.1620205398146135,3.508736135254022,2.9115016351290754,3.20725277082832,2.8561821022544134
PF3D7_0110800,1.1861155375371235,3.1105375074986545,3.1369137124896813,3.367620526995998,3.2204380382701183,1.7158655162225906,3.2088774463136125,2.622915139835694
PF3D7_0612100,2.495915980749461,2.797475521694133,3.633282208412348,2.8201540341634046,3.5951968834352472,2.4920202205516784,3.2115271619262837,2.9723408081677127
PF3D7_0909800,2.727726257140647,2.6104320890077566,3.336298842830057,3.4977450035351425,3.45433212175493,2.394148192476329,3.2247020142819713,3.0034470844574774
PF3D7_0719000,2.153730383860675,3.2992467490410844,3.9180191554850814,2.2506224142663216,3.453426130700311,1.6033311978586815,3.2303286123732002,2.7797293385353594
PF3D7_0906700,1.8310077153743856,2.7772944276364115,3.192971431610512,3.268226759284276,3.6844045475797333,1.6344193682387702,3.230724291527733,2.7313873749540147
PF3D7_0814100,3.003523424538957,2.9558385362822377,3.5597952753306266,3.2688100481733398,3.1498229554743244,3.3924834152718204,3.2335667038151317,3.221712275845217
PF3D7_1210300,2.4072426522259907,3.3839088749774877,3.413990900775382,2.878444114944789,3.26711255199329,2.8846117977756136,3.2358641106727366,3.039218482115425
PF3D7_1105600,1.3611304377723241,3.0658869640572566,3.2540066626946618,3.3155304677627275,3.3729569652807005,2.014457669787384,3.2520952649488373,2.7306615278925093
PF3D7_1466400,2.8256549016392976,2.631279140284663,3.6304134969996547,3.0260077349946584,3.745243052957107,3.6686222462772218,3.258235856309022,3.254536762192101
PF3D7_1201500,1.0221219709907527,3.164142690975853,3.2128674146291227,3.3037430009457367,3.3878946167072272,1.6412692346455824,3.267161930814485,2.622006488149046
PF3D7_0925900,1.082740231397121,3.3486611529440933,3.171539372334032,3.3279475138322385,3.224035734086447,2.1973261783208207,3.2680459432992026,2.725375030485792
