# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_3D7_1stage_periodic_jtk05.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_FUP_1stage_periodic_jtk05.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
PF3D7_0215300	0.1	0.13333333333333333	0.17582417582417584	0.21794871794871795	0.22727272727272727	0.2909090909090909	0.35555555555555557	0.4444444444444444	0.5	0.5714285714285714	0.6	0.9	0.5	0.3333333333333333	0.0	0.9	0.0	0.0	42.0	0.0	0.0
PF3D7_0524400	0.10833333333333334	0.17142857142857143	0.23076923076923078	0.24358974358974358	0.3181818181818182	0.36363636363636365	0.3333333333333333	0.3888888888888889	0.4642857142857143	0.6190476190476191	0.6666666666666666	0.8	1.0	1.0	1.0	0.8916666666666666	0.10833333333333334	0.6231	0.0	0.0	0.0
PF3D7_1431200	0.14166666666666666	0.09523809523809523	0.13186813186813187	0.1282051282051282	0.18181818181818182	0.16363636363636364	0.2	0.25	0.32142857142857145	0.42857142857142855	0.5333333333333333	0.7	0.3333333333333333	1.0	0.0	1.0	0.0	0.0	42.0	0.0	0.0
PF3D7_0523800	0.15	0.20952380952380953	0.32967032967032966	0.4230769230769231	0.45454545454545453	0.6181818181818182	0.7111111111111111	0.7222222222222222	0.6428571428571429	0.6666666666666666	0.4666666666666667	0.5	0.16666666666666666	0.0	0.0	0.7222222222222222	0.0	0.0	39.0	0.0	0.0
PF3D7_1133900	0.175	0.24761904761904763	0.3516483516483517	0.46153846153846156	0.5909090909090909	0.7454545454545455	0.7555555555555555	0.6388888888888888	0.7142857142857143	0.7619047619047619	0.5333333333333333	0.6	0.5	0.3333333333333333	0.0	0.7619047619047619	0.0	0.0	42.0	0.0	0.0
PF3D7_0926100	0.19166666666666668	0.12380952380952381	0.17582417582417584	0.19230769230769232	0.3181818181818182	0.38181818181818183	0.4222222222222222	0.5	0.5357142857142857	0.8095238095238095	0.5333333333333333	0.6	0.3333333333333333	0.6666666666666666	0.0	0.8095238095238095	0.0	0.0	42.0	0.0	0.0
PF3D7_0702300	0.10833333333333334	0.09523809523809523	0.06593406593406594	0.07692307692307693	0.09090909090909091	0.10909090909090909	0.13333333333333333	0.16666666666666666	0.21428571428571427	0.19047619047619047	0.4	0.5	0.3333333333333333	0.3333333333333333	1.0	0.9340659340659341	0.06593406593406594	0.6009	6.0	0.0	0.0
PF3D7_1428500	0.06666666666666667	0.18095238095238095	0.27472527472527475	0.358974358974359	0.42424242424242425	0.509090909090909	0.6222222222222222	0.7777777777777778	0.8928571428571429	0.9523809523809523	0.7333333333333333	0.6	0.5	0.3333333333333333	0.0	0.9523809523809523	0.0	0.0	42.0	0.0	0.0
PF3D7_0305300	0.15833333333333333	0.10476190476190476	0.13186813186813187	0.08974358974358974	0.16666666666666666	0.16363636363636364	0.2222222222222222	0.16666666666666666	0.2857142857142857	0.38095238095238093	0.5333333333333333	0.8	0.3333333333333333	0.6666666666666666	0.0	0.8	0.0	0.0	42.0	0.0	0.0
PF3D7_1458600	0.20833333333333334	0.19047619047619047	0.24175824175824176	0.23076923076923078	0.30303030303030304	0.41818181818181815	0.5333333333333333	0.5555555555555556	0.5357142857142857	0.8095238095238095	0.5333333333333333	0.6	0.3333333333333333	0.6666666666666666	0.0	0.8095238095238095	0.0	0.0	42.0	0.0	0.0
