# pyDL periodicity scores computed on 2019-09-05 15:30:01
# Calculation time:  4656.674384 seconds
# Input files:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_FUP_means_filtered.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_1450200	48.0	0.23451121220278134	2.5020232105663354	0.99941	1.3183593621177963	1e-06	0.0033333333333333335	0.004394531207059321	92504.82938785561
PF3D7_1450300	51.0	0.2451848986477037	3.2169124904022737	0.999053	1.3178884299755562	1e-06	0.0033333333333333335	0.0043929614332518544	92405.73367269998
PF3D7_1450400	48.0	0.19246046621859142	1.6305969811159542	0.999939	1.3190571859364095	0.0037	12.333333333333336	16.268371959882387	4305588625610439.0
PF3D7_1450500	48.0	0.810365419450575	6.659342657140677	0.001104	0.0014563279692799223	1e-06	0.0033333333333333335	4.854426564266408e-06	0.00018348499161913634
PF3D7_1450600	51.0	0.1857978444359712	2.498929138196897	0.99996	1.3190848878271295	0.0002	0.6666666666666667	0.8793899252180865	680057577590.5399
PF3D7_1450700	45.0	0.17712344285660137	1.4258055977616748	0.999978	1.3191086323048895	0.2605	868.3333333333335	1145.4259957180793	1.502800585200095e+21
PF3D7_1450800	48.0	0.7227617654872991	6.994698045258083	0.018737	0.024716682210505346	1e-06	0.0033333333333333335	8.238894070168449e-05	0.6105813944904064
PF3D7_1450900	51.0	0.7489600465123578	7.499552778893548	0.009009	0.011884111118879366	1e-06	0.0033333333333333335	3.9613703729597885e-05	0.0682381196525674
PF3D7_1451000	51.0	0.4220432791415567	3.9009297598289563	0.806994	1.0645361714140231	0.008	26.666666666666668	28.387631237707286	2.2876408804724364e+16
PF3D7_1451100	51.0	0.25198406148745983	3.3692913407923446	0.998716	1.317443880586383	1e-06	0.0033333333333333335	0.0043914796019546105	92312.2544965982
PF3D7_1451200	48.0	0.399692085489328	3.4288015037875206	0.86694	1.143613197180739	0.0015	5.000000000000001	5.718065985903697	186959629067819.6
PF3D7_1451300	48.0	0.782465226298059	7.1867566571354855	0.003073	0.004053710008693117	0.0002	0.6666666666666667	0.002702473339128745	20938.28786574498
PF3D7_1451400	48.0	0.3230349938440234	2.4805539396593925	0.97992	1.292649369254331	0.0117	39.00000000000001	50.41332540091892	1.2812571356449253e+17
PF3D7_1451500	45.0	0.3161086837724205	2.498213609296895	0.984063	1.2981145565520906	0.0787	262.33333333333337	340.53871866883185	3.94911472488891e+19
PF3D7_1451600	48.0	0.3692958602318009	3.286316549819123	0.92905	1.2255448368292678	0.0015	5.000000000000001	6.127724184146341	230090100318688.97
PF3D7_1451700	48.0	0.9771589348811618	7.356455674082221	2e-06	2.6382753066665258e-06	1e-06	0.0033333333333333335	8.794251022221754e-09	1.0650889261875426e-07
PF3D7_1451800	51.0	0.6191110074689158	6.162977180866062	0.144926	0.19117734354697646	0.001	3.3333333333333335	0.6372578118232549	258795920106.5663
PF3D7_1451900	48.0	0.1598105393332508	1.4352874315793256	0.99999	1.3191244619567297	0.0012	4.0	5.276497847826919	146905336643874.62
PF3D7_1452000	48.0	0.9304283743779976	7.069363347386341	1e-05	1.319137653333263e-05	1e-06	0.0033333333333333335	4.397125511110877e-08	5.326334250486653e-07
PF3D7_1452100	48.0	0.4106083071070673	3.8895199716556976	0.83887	1.1065850032516742	0.0005	1.6666666666666667	1.8443083387527903	6273372857548.028
PF3D7_1452200	45.0	0.442563363856638	4.439270535156882	0.742383	0.9793053684945078	0.0023	7.666666666666667	7.50800782512456	423228212326191.3
PF3D7_1452300	45.0	0.5038539433233921	5.4103764689167315	0.516893	0.6818530190443903	1e-06	0.0033333333333333335	0.0022728433968146346	12797.819223149962
PF3D7_1452400	51.0	0.2416554912694463	1.5548182865036997	0.999197	1.3180783857976364	0.3225	1075.0000000000002	1416.9342647324595	2.844784401454121e+21
PF3D7_1452500	48.0	0.7444608247648725	5.880557134813231	0.010304	0.013592394379945942	0.0029	9.666666666666666	0.13139314567281077	2280670106.8105745
PF3D7_1452600	51.0	0.3564182740937945	1.673251339005863	0.948278	1.2509092156275599	0.4143	1381.0000000000002	1727.5056267816603	5.155356341948157e+21
PF3D7_1452700	48.0	0.6295340708499924	6.3706614948858045	0.123606	0.1630533287779113	1e-06	0.0033333333333333335	0.000543511095926371	175.01210044348497
PF3D7_1452800	48.0	0.5792855961289107	4.52528597223634	0.247616	0.32663958916776925	0.0114	38.00000000000001	12.412304388375233	1912323326829054.0
PF3D7_1453000	48.0	0.22262769333003965	1.9333982138636883	0.999699	1.3187405928996097	0.0031	10.333333333333334	13.626986126629301	2530461272996469.0
PF3D7_1453200	48.0	0.9308615479453382	7.319679763652348	9e-06	1.1872238879999366e-05	1e-06	0.0033333333333333335	3.957412959999789e-08	4.793542361955832e-07
PF3D7_1453300	48.0	0.2741862189962765	2.005564264124465	0.99664	1.314705350818063	0.0195	65.0	85.4558478031741	6.240589453473807e+17
PF3D7_1453400	45.0	0.21697707382534828	2.5056897249305017	0.999784	1.318852719600143	0.0072	24.0	31.652465270403432	3.1711944539449692e+16
PF3D7_1453500	45.0	0.2367577409975421	2.0598907653915113	0.999354	1.3182854904092096	0.088	293.3333333333333	386.69707718670145	5.782463744148558e+19
PF3D7_1453600	51.0	0.29953262568932726	3.240643838027431	0.991083	1.3073749028784902	0.001	3.3333333333333335	4.357916342928301	82763140186996.12
PF3D7_1453700	51.0	0.13232199391066166	1.511567745622407	1.0	1.3191376533332628	0.1077	359.00000000000006	473.5704175466414	1.0620719677132684e+20
PF3D7_1453800	48.0	0.18980295078721954	1.9681842361804125	0.999948	1.3190690581752895	1e-06	0.0033333333333333335	0.004396896860584299	92654.30069999307
PF3D7_1453900	48.0	0.3208072388951662	3.204041847130495	0.981314	1.2944882471430776	0.0002	0.6666666666666667	0.8629921647620519	642719970500.6995
PF3D7_1454000	48.0	0.21312197944132918	2.0164981482691986	0.999822	1.3189028468309696	0.0003	1.0	1.3189028468309696	2294241339606.5454
PF3D7_1454100	48.0	0.7795465665756388	6.233102096172054	0.003408	0.00449562112255976	0.0004	1.3333333333333335	0.005994161496746348	226026.46928089054
PF3D7_1454200	48.0	0.2416933603232324	1.840713311629936	0.999195	1.3180757475223297	0.0164	54.66666666666668	72.0548075312207	3.741012311820941e+17
PF3D7_1454300	51.0	0.25512931890416907	1.9481189547909559	0.998515	1.317178733918063	0.1445	481.6666666666667	634.4410901705337	2.5537251785492018e+20
PF3D7_1454400	48.0	0.21803782722435838	2.2486046334534473	0.99977	1.3188342516729963	1e-06	0.0033333333333333335	0.004396114172243322	92604.82955678423
PF3D7_1454500	45.0	0.12810027571402532	1.897723033383906	1.0	1.3191376533332628	0.0021	7.0	9.23396357333284	787344375522003.1
PF3D7_1454600	48.0	0.49823362139747923	4.206255787205023	0.538621	0.7105152419760155	0.0026	8.666666666666668	6.157798763792135	233494869474899.9
PF3D7_1454700	48.0	0.2693013398025211	1.2592586422955865	0.997244	1.3155021099606765	0.2696	898.6666666666667	1182.197896151328	1.6522311180140992e+21
PF3D7_1454800	48.0	0.4259647173531398	3.6700452232319765	0.795226	1.0490125595095974	0.0018	6.0	6.294075357057585	249342449486121.66
PF3D7_1454900	45.0	0.406807438922879	3.8747581774748987	0.849	1.1199478676799401	0.007	23.333333333333336	26.132116912531938	1.7845311145491418e+16
PF3D7_1455000	45.0	0.3765341112321717	4.724673744167327	0.91644	1.2089105110207354	1e-06	0.0033333333333333335	0.004029701703402452	71325.60954769445
PF3D7_1455100	48.0	0.2841514125242204	1.7129933602569203	0.994973	1.3125063483499566	0.092	306.6666666666667	402.50194682732007	6.5208499677922525e+19
PF3D7_1455300	48.0	0.596713787294066	5.885999285463848	0.198442	0.26177231420275937	1e-06	0.0033333333333333335	0.0008725743806758646	724.1694651933966
PF3D7_1455400	48.0	0.34917136581840397	3.3694646944034017	0.957059	1.2624925633614792	1e-06	0.0033333333333333335	0.004208308544538264	81236.17978964293
PF3D7_1455500	48.0	0.3284285184065149	2.575759680644741	0.976357	1.2879492817955045	0.0106	35.333333333333336	45.50754129010783	9.424327671999096e+16
PF3D7_1455600	48.0	0.7946062483047451	6.471162380001292	0.001997	0.002634317893706526	0.0001	0.33333333333333337	0.0008781059645688421	774.6555419827632
PF3D7_1455700	48.0	0.8709717257343195	7.32135890486366	9.9e-05	0.00013059462767999301	0.0001	0.33333333333333337	4.3531542559997676e-05	4.91937440029072
PF3D7_1455900	48.0	0.8962846368110988	7.453035959369127	3.3e-05	4.3531542559997676e-05	0.0001	0.33333333333333337	1.4510514186665893e-05	1.615349153718775
PF3D7_1456000	48.0	0.8725794734487858	7.460463389641506	9.5e-05	0.00012531807706666	0.0001	0.33333333333333337	4.1772692355553334e-05	4.714344276910085
PF3D7_1456300	51.0	0.2732175410385502	3.2043743696971325	0.996773	1.3148807961259565	1e-06	0.0033333333333333335	0.004382935987086522	91774.5222935786
PF3D7_1456500	48.0	0.8983059569831983	8.17006684913652	2.9e-05	3.825499194666462e-05	0.0001	0.33333333333333337	1.2751663982221543e-05	1.4189378073897474
PF3D7_1456600	48.0	0.5639444834629045	5.148705461503239	0.295921	0.3903605335120325	1e-06	0.0033333333333333335	0.0013012017783734417	2401.393288313495
PF3D7_1456700	51.0	0.17483267959434373	1.4211578957424964	0.999981	1.3191125897178495	0.2791	930.3333333333335	1227.214412634173	1.848253727732683e+21
PF3D7_1456800	51.0	0.21224558551750447	2.889734760278425	0.999827	1.3189094425192363	1e-06	0.0033333333333333335	0.004396364808397455	92620.66952260456
PF3D7_1456900	45.0	0.25723300234401636	1.2992235936011272	0.99838	1.317000650334863	0.4744	1581.3333333333335	2082.617028396197	9.032926897457536e+21
PF3D7_1457000	51.0	0.2876868534685633	2.5589278566231086	0.994243	1.3115433778630232	0.0345	115.00000000000001	150.82748845424769	3.4311661639406387e+18
PF3D7_1457100	51.0	0.3286746444574086	2.8304852842327652	0.976179	1.2877144752932113	0.0358	119.33333333333334	153.66726071832323	3.628643567821252e+18
PF3D7_1457200	48.0	0.6983539737522104	5.775684573802887	0.033803	0.04459081009562429	0.0034	11.333333333333334	0.5053625144170752	129130086874.33412
PF3D7_1457300	48.0	0.1841500007451205	1.6957493585957664	0.999962	1.3190875261024362	0.0004	1.3333333333333335	1.7587833681365819	5440484084034.862
PF3D7_1457400	48.0	0.3400283006891213	3.4102293212478316	0.966589	1.2750639451977452	1e-06	0.0033333333333333335	0.004250213150659151	83687.1729666858
PF3D7_1457500	48.0	0.6795056317357745	6.304470681591889	0.050834	0.06705704346954308	1e-06	0.0033333333333333335	0.0002235234782318103	12.17565992925785
PF3D7_1457600	51.0	0.26779269861954264	2.172583416876055	0.997419	1.3157329590500098	0.0874	291.33333333333337	383.3168687365696	5.632147840709666e+19
PF3D7_1457700	48.0	0.2491021687471796	2.0803693671119587	0.99888	1.3176602191615296	0.0038	12.666666666666668	16.690362776046044	4649407182885543.0
PF3D7_1457800	48.0	0.7226697033057708	6.174396192962019	0.018784	0.02477868168021201	1e-06	0.0033333333333333335	8.25956056007067e-05	0.6151826626957658
PF3D7_1457900	45.0	0.42488530327849106	3.503385003201852	0.798558	1.0534079261705038	0.0313	104.33333333333334	109.90556029712258	1.3275759776590528e+18
PF3D7_1458000	48.0	0.2387686915498331	1.9688869576591694	0.999285	1.3181944699111297	0.006	20.000000000000004	26.363889398222597	1.8324354884099376e+16
PF3D7_1458100	45.0	0.4265101359913238	5.074812733242506	0.79362	1.046894024438344	1e-06	0.0033333333333333335	0.0034896467481278135	46320.29245452689
PF3D7_1458200	48.0	0.4529919023472163	4.801676586935712	0.707009	0.9326421931454969	1e-06	0.0033333333333333335	0.00310880731048499	32749.781799659817
PF3D7_1458300	48.0	0.8159761850259059	6.38291388382448	0.000894	0.001179309062079937	0.0001	0.33333333333333337	0.00039310302069331236	104.42525707253829
PF3D7_1458400	51.0	0.1963436518875939	1.8991495143873114	0.999923	1.3190360797339562	0.0661	220.33333333333337	290.62761623471505	2.4547704627638067e+19
PF3D7_1458500	48.0	0.8177432992997445	6.877712816662016	0.000848	0.0011186287300266069	1e-06	0.0033333333333333335	3.728762433422023e-06	0.0001016688490288305
PF3D7_1458600	48.0	0.24914224339551422	2.5227437805455843	0.998877	1.3176562617485696	1e-06	0.0033333333333333335	0.004392187539161899	92356.90581878086
PF3D7_1458700	48.0	0.7955927132208828	7.632383247840583	0.001916	0.0025274677437865318	1e-06	0.0033333333333333335	8.42489247928844e-06	0.0007538426774940758
PF3D7_1458800	48.0	0.25109386847136733	2.3343320738435134	0.998767	1.3175111566067028	0.0006	2.0	2.6350223132134056	18295877769976.746
