	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_1143200	3.4e-05	4.6543463381245726e-05	2.0695381558476795e-06	0.00010650729764981902	5.024312836776204e-09
PF3D7_0612200	0.00011999999999999999	0.0001642710472279261	6.804813352432401e-07	3.502048411772911e-05	5.9153380552546365e-09
PF3D7_1141800	4e-05	5.4757015742642044e-05	2.0695381558476795e-06	0.00010650729764981902	5.915863780553197e-09
PF3D7_1243900	0.001519	0.002079397672826831	1.099815087910326e-08	5.660119510086891e-07	6.266034034796282e-09
PF3D7_1252100	5.4000000000000005e-05	7.392197125256673e-05	2.0695381558476795e-06	0.00010650729764981902	8.006052743478091e-09
PF3D7_1452000	0.000168	0.00022997946611909653	6.804813352432401e-07	3.502048411772911e-05	8.490372487913162e-09
PF3D7_1327500	0.000176	0.0002409308692676249	6.804813352432401e-07	3.502048411772911e-05	8.938242662202372e-09
PF3D7_1228600	6.3e-05	8.62422997946612e-05	2.0695381558476795e-06	0.00010650729764981902	9.358725879480675e-09
PF3D7_1035100	0.00020099999999999998	0.00027515400410677623	6.804813352432401e-07	3.502048411772911e-05	1.037828003874038e-08
PF3D7_0802100	0.00020099999999999998	0.00027515400410677623	6.804813352432401e-07	3.502048411772911e-05	1.037828003874038e-08
PF3D7_0212900	7.2e-05	9.856262833675567e-05	2.0695381558476795e-06	0.00010650729764981902	1.0719859482601524e-08
PF3D7_1436600	0.001893	0.0025913757700205342	1.099815087910326e-08	5.660119510086891e-07	1.1316312195115549e-08
PF3D7_0806300	7.8e-05	0.00010677618069815197	2.0695381558476795e-06	0.00010650729764981902	1.1632579002542727e-08
PF3D7_0831600	0.000223	0.0003052703627652293	6.804813352432401e-07	3.502048411772911e-05	1.1701316962345084e-08
PF3D7_0501600	8.6e-05	0.00011772758384668037	2.0695381558476795e-06	0.00010650729764981902	1.2856842140205201e-08
PF3D7_1410400	8.7e-05	0.0001190965092402464	2.0695381558476795e-06	0.00010650729764981902	1.3010499246771234e-08
PF3D7_0216800	4e-05	5.4757015742642044e-05	5.735652685057448e-06	0.00029518125385476554	1.7624265356085674e-08
PF3D7_1356100	0.000132	0.00018069815195071871	2.0695381558476795e-06	0.00010650729764981902	2.0099525764272834e-08
PF3D7_1019500.2	0.00034500000000000004	0.0004722792607802875	6.804813352432401e-07	3.502048411772911e-05	2.025334323643511e-08
PF3D7_0104100	0.0007700000000000001	0.001054072553045859	2.0008650961031914e-07	1.0297308785810143e-05	2.2916205406629847e-08
PF3D7_1238600	5.2000000000000004e-05	7.118412046543464e-05	5.735652685057448e-06	0.00029518125385476554	2.295880377468267e-08
PF3D7_1321500.1	0.000384	0.0005256673511293635	6.804813352432401e-07	3.502048411772911e-05	2.3524864409061645e-08
PF3D7_0422800	5.7999999999999994e-05	7.939767282683095e-05	5.735652685057448e-06	0.00029518125385476554	2.5639408978105598e-08
PF3D7_0927800	0.00044400000000000006	0.0006078028747433267	6.804813352432401e-07	3.502048411772911e-05	2.918470068038522e-08
PF3D7_1227500	8.2e-05	0.00011225188227241616	5.735652685057448e-06	0.00029518125385476554	3.6475630274992386e-08
PF3D7_0803400	0.000519	0.0007104722792607804	6.804813352432401e-07	3.502048411772911e-05	3.748624701624307e-08
PF3D7_1312100	0.00024300000000000002	0.00033264887063655027	2.0695381558476795e-06	0.00010650729764981902	3.9796375446837373e-08
PF3D7_0935400	2.6000000000000002e-05	3.559206023271732e-05	1.4691891552010599e-05	0.0007561076668953307	4.235024293914889e-08
