# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_3D7_1stage_periodic_jtk05.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_FUP_1stage_periodic_jtk05.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
PF3D7_0831800	0.18333333333333332	0.2857142857142857	0.38461538461538464	0.5128205128205128	0.6363636363636364	0.7636363636363637	0.8666666666666667	0.9444444444444444	0.8928571428571429	0.9523809523809523	0.8666666666666667	1.0	0.8333333333333334	0.6666666666666666	0.0	1.0	0.0	0.0	42.0	0.0	0.0
PF3D7_1478000	0.14166666666666666	0.08571428571428572	0.04395604395604396	0.05128205128205128	0.045454545454545456	0.05454545454545454	0.06666666666666667	0.08333333333333333	0.10714285714285714	0.047619047619047616	0.2	0.1	0.3333333333333333	0.3333333333333333	1.0	0.9560439560439561	0.04395604395604396	0.6041	6.0	0.0	0.0
PF3D7_1002500	0.15	0.20952380952380953	0.24175824175824176	0.358974358974359	0.4696969696969697	0.5454545454545454	0.6222222222222222	0.7777777777777778	0.6785714285714286	0.6666666666666666	0.5333333333333333	0.5	0.16666666666666666	0.3333333333333333	1.0	0.85	0.15	0.6338	0.0	0.0	0.0
PF3D7_0524100	0.1	0.18095238095238095	0.25274725274725274	0.3974358974358974	0.5606060606060606	0.7454545454545455	0.8444444444444444	0.75	0.6785714285714286	0.5714285714285714	0.4	0.2	0.16666666666666666	0.6666666666666666	1.0	0.9	0.1	0.609	0.0	0.0	0.0
PF3D7_1412900.1	0.15833333333333333	0.3142857142857143	0.46153846153846156	0.5769230769230769	0.6363636363636364	0.7454545454545455	0.8888888888888888	0.75	0.5	0.23809523809523808	0.06666666666666667	0.2	0.5	1.0	1.0	0.9333333333333333	0.06666666666666667	0.5951	30.0	0.0	0.0
PF3D7_1462300	0.275	0.3047619047619048	0.31868131868131866	0.34615384615384615	0.4090909090909091	0.6	0.5555555555555556	0.5555555555555556	0.6785714285714286	0.6666666666666666	0.6666666666666666	0.7	0.16666666666666666	0.6666666666666666	1.0	0.8333333333333334	0.16666666666666666	0.6376	36.0	0.0	0.0
PF3D7_0814500	0.041666666666666664	0.09523809523809523	0.16483516483516483	0.19230769230769232	0.22727272727272727	0.2727272727272727	0.3333333333333333	0.4166666666666667	0.5357142857142857	0.6666666666666666	0.8	0.9	1.0	1.0	1.0	0.9583333333333334	0.041666666666666664	0.6019	0.0	0.0	0.0
PF3D7_1340300	0.10833333333333334	0.13333333333333333	0.14285714285714285	0.19230769230769232	0.22727272727272727	0.2545454545454545	0.2222222222222222	0.16666666666666666	0.25	0.3333333333333333	0.4	0.5	0.6666666666666666	1.0	1.0	0.8916666666666666	0.10833333333333334	0.6225	0.0	0.0	0.0
PF3D7_1453800	0.18333333333333332	0.22857142857142856	0.16483516483516483	0.14102564102564102	0.25757575757575757	0.32727272727272727	0.37777777777777777	0.4166666666666667	0.42857142857142855	0.5714285714285714	0.8	0.5	0.0	0.6666666666666666	1.0	1.0	0.0	0.0	36.0	0.0	0.0
PF3D7_1353200	0.09166666666666666	0.17142857142857143	0.2087912087912088	0.2692307692307692	0.36363636363636365	0.4727272727272727	0.6	0.75	0.75	0.7142857142857143	0.7333333333333333	0.4	0.16666666666666666	0.0	0.0	0.75	0.0	0.0	39.0	0.0	0.0
