	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_0217600	0.9981629999999999	1.42789826384195	1.0	84.01020034495392	1.7261879114581522e+18
PF3D7_1330800	0.998192	1.4279397491000203	1.0	84.01020034495392	1.7263383705138568e+18
PF3D7_1327000	0.998193	1.4279411796261607	1.0	84.01020034495392	1.7263435589130893e+18
PF3D7_1117800	0.9983049999999999	1.4281013985538813	1.0	84.01020034495392	1.7269247254128676e+18
PF3D7_1242100	0.99831	1.428108551184583	1.0	84.01020034495392	1.726950673386836e+18
PF3D7_0210000	0.9983129999999999	1.428112842763004	1.0	84.01020034495392	1.726966242295979e+18
PF3D7_0708300	0.99835	1.4281657722301977	1.0	84.01020034495392	1.727158266535828e+18
PF3D7_1356600	0.99836	1.4281800774916011	1.0	84.01020034495392	1.7272101674223557e+18
PF3D7_0531000	0.998373	1.428198674331426	1.0	84.01020034495392	1.7272776401292457e+18
PF3D7_0305200	0.99841	1.4282516037986193	1.0	84.01020034495392	1.7274696874512028e+18
PF3D7_0317700	0.998411	1.4282530343247597	1.0	84.01020034495392	1.727474878116921e+18
PF3D7_0416900	0.998439	1.4282930890566896	1.0	84.01020034495392	1.7276202209785892e+18
PF3D7_1323500	0.998449	1.4283073943180935	1.0	84.01020034495392	1.7276721311191094e+18
PF3D7_0709000	0.998489	1.4283646153637075	1.0	84.01020034495392	1.7278797820795476e+18
PF3D7_1342100	0.998516	1.4284032395694974	1.0	84.01020034495392	1.7280199558834048e+18
PF3D7_1467100	0.998542	1.4284404332491472	1.0	84.01020034495392	1.7281549452297764e+18
PF3D7_0715000	0.998576	1.4284890711379197	1.0	84.01020034495392	1.7283314803668854e+18
PF3D7_1351100	0.998612	1.4285405700789724	1.0	84.01020034495392	1.728518413027303e+18
PF3D7_1111000	0.998655	1.4286020827030081	1.0	84.01020034495392	1.728741711369391e+18
PF3D7_1229000	0.9986879999999999	1.4286492900656398	1.0	84.01020034495392	1.728913092906543e+18
PF3D7_0931400	0.998812	1.4288266753070449	1.0	84.01020034495392	1.7295571732597944e+18
PF3D7_1457000	0.998817	1.4288338279377464	1.0	84.01020034495392	1.7295831475963036e+18
PF3D7_1320900	0.9988309999999999	1.4288538553037116	1.0	84.01020034495392	1.7296558771220145e+18
PF3D7_0307800	0.998841	1.4288681605651152	1.0	84.01020034495392	1.729707828031503e+18
PF3D7_1418000	0.9988610000000001	1.4288967710879223	1.0	84.01020034495392	1.7298117329711923e+18
PF3D7_1140700	0.9988610000000001	1.4288967710879223	1.0	84.01020034495392	1.7298117329711923e+18
PF3D7_1213700	0.9989299999999999	1.4289954773916074	1.0	84.01020034495392	1.73017023695467e+18
PF3D7_1021600	0.998976	1.429061281594064	1.0	84.01020034495392	1.7304092671267525e+18
PF3D7_1332900	0.9990040000000001	1.429101336325994	1.0	84.01020034495392	1.730554774531453e+18
PF3D7_1105700	0.999009	1.429108488956696	1.0	84.01020034495392	1.7305807588549064e+18
PF3D7_0419200	0.9990709999999999	1.4291971815773985	1.0	84.01020034495392	1.7309029860754158e+18
PF3D7_1343200	0.999081	1.4292114868388017	1.0	84.01020034495392	1.7309549619533947e+18
PF3D7_1207800	0.9991040000000001	1.4292443889400304	1.0	84.01020034495392	1.731074510421404e+18
PF3D7_0610800	0.999138	1.4292930268288029	1.0	84.01020034495392	1.7312512443262367e+18
PF3D7_1445400	0.9991610000000001	1.4293259289300309	1.0	84.01020034495392	1.7313708064355354e+18
PF3D7_1022000	0.9991610000000001	1.4293259289300309	1.0	84.01020034495392	1.7313708064355354e+18
PF3D7_0214000	0.9991770000000001	1.429348817348277	1.0	84.01020034495392	1.7314539833233505e+18
PF3D7_1031600	0.9991979999999999	1.4293788583972244	1.0	84.01020034495392	1.7315631570312817e+18
PF3D7_1333800	0.999232	1.4294274962859967	1.0	84.01020034495392	1.7317399241928788e+18
PF3D7_0914200	0.9992409999999999	1.42944037102126	1.0	84.01020034495392	1.7317867175139843e+18
PF3D7_1419300	0.999244	1.429444662599681	1.0	84.01020034495392	1.7318023154750026e+18
PF3D7_0615400	0.9992549999999999	1.429460398387225	1.0	84.01020034495392	1.7318595088000422e+18
PF3D7_0524300	0.9992629999999999	1.4294718425963482	1.0	84.01020034495392	1.731901104736432e+18
PF3D7_0806000	0.9992840000000001	1.4295018836452953	1.0	84.01020034495392	1.7320102972383153e+18
PF3D7_0719300	0.999358	1.4296077425796825	1.0	84.01020034495392	1.732395107397477e+18
PF3D7_0405500	0.99936	1.4296106036319631	1.0	84.01020034495392	1.7324055084630167e+18
PF3D7_1136800	0.999361	1.4296120341581031	1.0	84.01020034495392	1.7324107090113974e+18
PF3D7_1328500	0.999366	1.4296191867888048	1.0	84.01020034495392	1.7324367119094213e+18
PF3D7_1119300	0.9993860000000001	1.4296477973116124	1.0	84.01020034495392	1.7325407261034854e+18
PF3D7_1018500	0.999393	1.4296578109945948	1.0	84.01020034495392	1.7325771320549606e+18
PF3D7_0521500	0.999397	1.4296635330991565	1.0	84.01020034495392	1.7325979356847823e+18
PF3D7_0804900	0.999402	1.4296706857298582	1.0	84.01020034495392	1.7326239404562414e+18
PF3D7_0912900	0.999411	1.4296835604651217	1.0	84.01020034495392	1.7326707497005847e+18
PF3D7_1365800	0.9994120000000001	1.4296849909912617	1.0	84.01020034495392	1.732675950779774e+18
PF3D7_1015200.1	0.9994379999999999	1.4297221846709112	1.0	84.01020034495392	1.7328111824920655e+18
PF3D7_1006900	0.999442	1.429727906775473	1.0	84.01020034495392	1.732831987995389e+18
PF3D7_1321200	0.999451	1.4297407815107357	1.0	84.01020034495392	1.7328788009867676e+18
PF3D7_0310500	0.999453	1.4297436425630166	1.0	84.01020034495392	1.7328892039882373e+18
PF3D7_0423100	0.999455	1.4297465036152972	1.0	84.01020034495392	1.7328996070313405e+18
PF3D7_1346500	0.9994559999999999	1.4297479341414376	1.0	84.01020034495392	1.7329048085685059e+18
PF3D7_1472400	0.999473	1.4297722530858237	1.0	84.01020034495392	1.7329932362928556e+18
PF3D7_1327200	0.999474	1.4297736836119639	1.0	84.01020034495392	1.732998438017379e+18
PF3D7_1247200	0.999476	1.4297765446642452	1.0	84.01020034495392	1.733008841497656e+18
PF3D7_1454700	0.999476	1.4297765446642452	1.0	84.01020034495392	1.733008841497656e+18
PF3D7_1409000	0.9994870000000001	1.4297922804517889	1.0	84.01020034495392	1.7330660613834084e+18
PF3D7_1346300	0.999489	1.4297951415040695	1.0	84.01020034495392	1.733076465134317e+18
PF3D7_0108400.2	0.999499	1.4298094467654734	1.0	84.01020034495392	1.73312848451341e+18
PF3D7_1302500	0.999499	1.4298094467654734	1.0	84.01020034495392	1.73312848451341e+18
PF3D7_1472300	0.999505	1.429818029922315	1.0	84.01020034495392	1.7331596966405036e+18
PF3D7_0614200	0.999508	1.4298223215007364	1.0	84.01020034495392	1.7331753028445768e+18
PF3D7_1460100	0.999509	1.4298237520268768	1.0	84.01020034495392	1.7331805049334198e+18
PF3D7_1201500	0.999525	1.4298466404451229	1.0	84.01020034495392	1.7332637397705772e+18
PF3D7_1225700	0.999525	1.4298466404451229	1.0	84.01020034495392	1.7332637397705772e+18
PF3D7_0912000	0.9995360000000001	1.4298623762326663	1.0	84.01020034495392	1.733320965266923e+18
PF3D7_1112500	0.9995780000000001	1.429922458330562	1.0	84.01020034495392	1.7335394742025966e+18
PF3D7_0725200	0.99959	1.4299396246442462	1.0	84.01020034495392	1.733601908699885e+18
PF3D7_1457600	0.999599	1.4299524993795094	1.0	84.01020034495392	1.733648735556609e+18
PF3D7_1456900	0.9996010000000001	1.42995536043179	1.0	84.01020034495392	1.7336591416392824e+18
PF3D7_1327700	0.999611	1.4299696656931935	1.0	84.01020034495392	1.7337111726772646e+18
PF3D7_1359100	0.9996139999999999	1.4299739572716148	1.0	84.01020034495392	1.7337267821916623e+18
PF3D7_0910100	0.999616	1.4299768183238954	1.0	84.01020034495392	1.7337371885866447e+18
PF3D7_1336700	0.999619	1.4299811099023167	1.0	84.01020034495392	1.7337527982571983e+18
PF3D7_1032700	0.999626	1.4299911235852991	1.0	84.01020034495392	1.733789221186186e+18
PF3D7_0212100	0.999626	1.4299911235852991	1.0	84.01020034495392	1.733789221186186e+18
PF3D7_1433100	0.9996389999999999	1.430009720425124	1.0	84.01020034495392	1.7338568651219635e+18
PF3D7_1227200	0.999647	1.4300211646342469	1.0	84.01020034495392	1.733898493033858e+18
PF3D7_1451500	0.999647	1.4300211646342469	1.0	84.01020034495392	1.733898493033858e+18
PF3D7_0527500	0.999648	1.4300225951603869	1.0	84.01020034495392	1.7339036965696911e+18
PF3D7_0709300	0.999653	1.430029747791089	1.0	84.01020034495392	1.733929714405029e+18
PF3D7_1118000	0.999669	1.4300526362093349	1.0	84.01020034495392	1.7340129732271265e+18
PF3D7_1214400	0.9996719999999999	1.4300569277877557	1.0	84.01020034495392	1.7340285845529797e+18
PF3D7_1310800	0.9996719999999999	1.4300569277877557	1.0	84.01020034495392	1.7340285845529797e+18
PF3D7_1005600	0.9996719999999999	1.4300569277877557	1.0	84.01020034495392	1.7340285845529797e+18
PF3D7_0616900	0.999676	1.4300626498923172	1.0	84.01020034495392	1.7340493997998733e+18
PF3D7_1366400	0.9996889999999999	1.430081246732142	1.0	84.01020034495392	1.734117050502699e+18
PF3D7_0934700	0.999692	1.4300855383105633	1.0	84.01020034495392	1.7341326624532188e+18
PF3D7_0512300	0.999692	1.4300855383105633	1.0	84.01020034495392	1.7341326624532188e+18
PF3D7_1465200	0.999705	1.4301041351503878	1.0	84.01020034495392	1.734200315321571e+18
PF3D7_1352100	0.999708	1.4301084267288091	1.0	84.01020034495392	1.7342159277718318e+18
PF3D7_1231100	0.99971	1.4301112877810895	1.0	84.01020034495392	1.7342263361240612e+18
PF3D7_0710900	0.999712	1.4301141488333704	1.0	84.01020034495392	1.7342367445179377e+18
PF3D7_1119600	0.9997149999999999	1.4301184404117917	1.0	84.01020034495392	1.734252357186838e+18
PF3D7_1219600	0.9997159999999999	1.430119870937932	1.0	84.01020034495392	1.734257561430627e+18
PF3D7_0514600	0.99972	1.4301255930424932	1.0	84.01020034495392	1.7342783785098988e+18
PF3D7_1415800	0.9997229999999999	1.4301298846209145	1.0	84.01020034495392	1.734293991428674e+18
PF3D7_1242800	0.9997299999999999	1.4301398983038969	1.0	84.01020034495392	1.7343304219368855e+18
PF3D7_0918900	0.9997309999999999	1.4301413288300373	1.0	84.01020034495392	1.734335626336848e+18
PF3D7_0930600.1	0.999733	1.4301441898823182	1.0	84.01020034495392	1.7343460351680077e+18
PF3D7_0915900	0.999735	1.4301470509345986	1.0	84.01020034495392	1.7343564440408128e+18
PF3D7_1316500	0.999735	1.4301470509345986	1.0	84.01020034495392	1.7343564440408128e+18
PF3D7_1219200	0.9997370000000001	1.4301499119868792	1.0	84.01020034495392	1.734366852955265e+18
PF3D7_0924400	0.9997389999999999	1.4301527730391597	1.0	84.01020034495392	1.734377261911363e+18
PF3D7_0812100	0.999749	1.4301670783005638	1.0	84.01020034495392	1.7344293073165642e+18
PF3D7_1420700	0.99975	1.4301685088267042	1.0	84.01020034495392	1.7344345119143493e+18
PF3D7_0610700	0.9997510000000001	1.4301699393528444	1.0	84.01020034495392	1.7344397165225452e+18
PF3D7_1111300	0.999756	1.430177091983546	1.0	84.01020034495392	1.7344657397197036e+18
PF3D7_1114100.1	0.999765	1.4301899667188096	1.0	84.01020034495392	1.734512582130541e+18
PF3D7_0530600	0.9997799999999999	1.4302114246109152	1.0	84.01020034495392	1.7345906546894257e+18
PF3D7_0519600	0.9997799999999999	1.4302114246109152	1.0	84.01020034495392	1.7345906546894257e+18
PF3D7_0206600	0.9997860000000001	1.430220007767757	1.0	84.01020034495392	1.7346218843689393e+18
PF3D7_1116400	0.9997940000000001	1.4302314519768797	1.0	84.01020034495392	1.7346635245247086e+18
PF3D7_1311400	0.9997940000000001	1.4302314519768797	1.0	84.01020034495392	1.7346635245247086e+18
PF3D7_1347500	0.9997940000000001	1.4302314519768797	1.0	84.01020034495392	1.7346635245247086e+18
PF3D7_0925700	0.9997959999999999	1.4302343130291608	1.0	84.01020034495392	1.7346739346677747e+18
PF3D7_0724400	0.9997969999999999	1.430235743555301	1.0	84.01020034495392	1.734679139754925e+18
PF3D7_0824600	0.999798	1.4302371740814417	1.0	84.01020034495392	1.7346843448524892e+18
PF3D7_1349200	0.999799	1.4302386046075817	1.0	84.01020034495392	1.734689549960463e+18
PF3D7_0108700	0.9998	1.4302400351337219	1.0	84.01020034495392	1.7346947550788506e+18
PF3D7_1317000	0.999806	1.4302486182905645	1.0	84.01020034495392	1.734725986007838e+18
PF3D7_1030700	0.999806	1.4302486182905645	1.0	84.01020034495392	1.734725986007838e+18
PF3D7_0416800	0.999811	1.4302557709212662	1.0	84.01020034495392	1.734752012068333e+18
PF3D7_0919100	0.999812	1.4302572014474066	1.0	84.01020034495392	1.7347572173116698e+18
PF3D7_1469100	0.999812	1.4302572014474066	1.0	84.01020034495392	1.7347572173116698e+18
PF3D7_1145100	0.9998239999999999	1.4302743677610907	1.0	84.01020034495392	1.7348196810438794e+18
PF3D7_1468800	0.9998309999999999	1.430284381444073	1.0	84.01020034495392	1.7348561189134372e+18
PF3D7_1439100	0.9998370000000001	1.4302929646009157	1.0	84.01020034495392	1.7348873517791534e+18
PF3D7_1249100	0.9998370000000001	1.4302929646009157	1.0	84.01020034495392	1.7348873517791534e+18
PF3D7_1231800	0.9998370000000001	1.4302929646009157	1.0	84.01020034495392	1.7348873517791534e+18
PF3D7_0619900	0.9998370000000001	1.4302929646009157	1.0	84.01020034495392	1.7348873517791534e+18
PF3D7_1361000	0.9998379999999999	1.430294395127056	1.0	84.01020034495392	1.7348925572932163e+18
PF3D7_0616100	0.9998379999999999	1.430294395127056	1.0	84.01020034495392	1.7348925572932163e+18
PF3D7_0319300	0.9998379999999999	1.430294395127056	1.0	84.01020034495392	1.7348925572932163e+18
PF3D7_0520900	0.99984	1.4302972561793366	1.0	84.01020034495392	1.734902968352581e+18
PF3D7_1239000	0.999842	1.4303001172316174	1.0	84.01020034495392	1.7349133794535982e+18
PF3D7_1143800	0.999843	1.430301547757758	1.0	84.01020034495392	1.7349185850197263e+18
PF3D7_0109600	0.9998459999999999	1.4303058393361787	1.0	84.01020034495392	1.7349342017805832e+18
PF3D7_0208800	0.999849	1.4303101309145998	1.0	84.01020034495392	1.734949818635157e+18
PF3D7_1365000	0.999849	1.4303101309145998	1.0	84.01020034495392	1.734949818635157e+18
PF3D7_0206700	0.99985	1.4303115614407402	1.0	84.01020034495392	1.7349550242741745e+18
PF3D7_1422800	0.9998549999999999	1.4303187140714422	1.0	84.01020034495392	1.7349810526254525e+18
PF3D7_0418700	0.999856	1.4303201445975824	1.0	84.01020034495392	1.734986258326946e+18
PF3D7_0319200	0.999856	1.4303201445975824	1.0	84.01020034495392	1.734986258326946e+18
PF3D7_1309600	0.9998790000000001	1.4303530466988106	1.0	84.01020034495392	1.7351059923352963e+18
PF3D7_1106700	0.9998790000000001	1.4303530466988106	1.0	84.01020034495392	1.7351059923352963e+18
PF3D7_1332000	0.9998809999999999	1.4303559077510914	1.0	84.01020034495392	1.735116404248523e+18
PF3D7_1367700	0.999883	1.4303587688033719	1.0	84.01020034495392	1.7351268162034015e+18
PF3D7_0515000	0.9998969999999999	1.4303787961693373	1.0	84.01020034495392	1.7351997010538427e+18
PF3D7_1103600	0.9999030000000001	1.4303873793261794	1.0	84.01020034495392	1.7352309380431155e+18
PF3D7_1369200	0.9999040000000001	1.43038880985232	1.0	84.01020034495392	1.735236144244442e+18
PF3D7_0608310	0.9999049999999999	1.4303902403784603	1.0	84.01020034495392	1.7352413504561807e+18
