,AS1901_FUP,AS1902_FUP,AS1903_FUP,AS1904_FUP,AS1905_FUP,AS1906_FUP,AS1907_FUP,AS1908_FUP,AS1909_FUP,AS1910_FUP,AS1911_FUP,AS1912_FUP,AS1913_FUP,AS1914_FUP,AS1915_FUP,AS1916_FUP
PF3D7_1328500,13.96344995,25.8563782,48.85375478,73.18486994,90.86065562,111.2545444,111.805483,112.1757509,127.3845216,131.8190535,98.84030314,84.77883638,78.66153515,108.8591539,103.1260133,102.8646507
PF3D7_1328600,3.36217429,3.807422724,3.735678578,1.981006095,3.305877883,2.375811083,1.697451665,3.178562363,2.791039817,3.201439227,1.613956519,0.903983618,0.879428386,1.556451247,2.141154035,2.846248574
PF3D7_1328700,15.43571188,70.23151376,84.00228587,102.7592154,78.8049809,61.35371593,56.65818394,64.8284242,108.9397015,81.72815433,59.65532257,39.58928083,32.70332715,51.98060084,43.63324708,39.66798688
PF3D7_1328800,37.2211509,78.39955842,125.3088387,154.7918989,127.8674957,89.29379014,93.09964824,117.8212769,184.0900967,155.4770101,115.6582447,92.70270057,70.51808846,113.3967116,140.1908882,145.574188
PF3D7_1328900,2.664959588,4.642887342,5.856943299,12.51771416,8.023814159,11.49801034,8.427548968,9.855530171,13.95647411,16.71525568,12.86299014,16.08179384,15.50692979,26.37198961,22.02022448,26.89871768
PF3D7_1329000,42.09246311,95.99002143,123.3772436,140.2846024,111.0814241,103.299063,93.67887893,67.4536607,82.78021499,90.17033261,67.74591047,66.01536252,62.34373417,62.9006078,54.40470083,53.03248202
PF3D7_1329100,9.665304614,10.42152032,9.528486962,11.73952996,11.05120862,16.47419581,22.87357357,61.92343599,98.43302697,123.6662159,110.9637304,100.6782793,84.83780931,125.0824405,127.5548602,144.6421115
PF3D7_1329200,4.51598318,6.392536307,3.584045869,6.047351716,5.806634216,4.2548351,2.442827119,3.12392233,3.261986824,6.477347917,8.051915917,14.76632115,21.54554113,49.07370777,56.22758534,55.68844626
PF3D7_1329300,13.15496347,16.04603367,17.15977227,18.10305336,17.1474695,14.70992465,10.97665999,6.292497637,11.3835081,12.67618957,20.15369375,36.9778468,64.41772197,134.6683717,152.6184795,170.5103061
PF3D7_1329400,22.92479646,34.9470933,29.81006912,33.34338946,35.47864334,27.93346758,26.7727751,20.61563671,18.34613283,23.80554379,36.32751007,46.9547092,51.10720765,54.17999002,48.56514631,43.41691088
PF3D7_1329500,1258.766467,1066.218003,1090.409144,1107.90394,925.0186761,900.4377658,833.0871964,567.5088316,454.7820257,350.4006698,200.3391543,153.8615996,128.9955661,169.0028553,137.1598572,142.9577841
PF3D7_1329600,252.8711323,220.2757941,177.8529358,197.0940056,156.0111642,159.166231,134.0087503,90.26480475,126.78479,126.8971178,112.0491985,104.3878028,92.47206948,109.3009615,88.85080252,88.90914005
PF3D7_1329700,7.653730092,7.150525603,4.009020913,2.459785839,1.910338439,1.892922651,1.076432763,0.794167872,0.668364302,0.747233114,0.62983669,0.836415999,0.984959792,2.293717628,4.267387135,7.321569502
PF3D7_1329800,1.822081551,1.9105347,2.088766517,1.518190399,1.339851251,1.221967349,0.730086738,0.536846095,1.091315666,1.48851455,3.26262178,5.083379265,6.418125096,7.744379948,6.420173081,8.369399032
PF3D7_1329900,2.30476731,1.304992346,1.097487492,0.555536378,0.915186533,0.559836839,0.436350569,0.916732951,1.956738238,4.646127886,7.942125016,7.765988664,10.54379981,10.95023387,8.402171845,8.584843156
PF3D7_1330000.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_1330000.1,1.57659445,0,1.407647001,0,0.670757831,0.522219344,1.066032446,1.090606057,1.274783228,0.855126677,1.378490399,1.794725151,1.484577078,2.16074849,1.767301743,1.251249373
PF3D7_1330100,7.417160253,6.793636625,7.531287829,9.464913904,11.63244731,8.285694088,13.6885407,14.03426283,19.33239441,21.53478771,28.00516638,47.56666052,66.82978524,156.9050048,174.9628725,198.9887973
PF3D7_1330200,6.110171662,5.596520039,4.920563414,9.818554838,7.747696185,13.4925835,12.4429937,13.30167045,17.72762975,17.09029053,29.65129633,40.49414979,64.24801603,127.4175299,133.2716794,118.512608
PF3D7_1330300,7.61822785,6.609471776,5.558509692,8.885235442,7.109628942,12.04722276,11.96396655,22.77954126,42.16518312,56.2934785,73.20751207,90.03156863,89.32279945,109.124307,116.3704319,130.180437
PF3D7_1330400.1,24.33349065,32.01352276,23.17431483,36.57183692,30.69246624,34.13665398,27.87394313,18.41689228,19.72156747,21.89349325,14.01707079,17.09495948,18.86975601,37.03750359,58.54419563,92.15254066
PF3D7_1330400.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_1330500,7.641922685,10.34017696,9.900062789,9.661435686,8.66996073,7.047803216,7.53799472,6.180288763,8.995913459,9.366640653,10.45025731,13.27545693,20.98805507,37.78631244,53.23813928,66.99975052
PF3D7_1330600,6.288461953,5.47787301,6.71831523,4.66387062,3.475745126,4.272703726,2.354962586,4.23849172,7.822533442,15.82956087,48.5309708,81.81149716,119.6940269,182.0921682,171.8823189,151.0712993
PF3D7_1330700,3.332874297,3.208106184,3.094753332,2.35649091,2.344364381,2.296229176,2.884558384,2.582170222,4.311766799,5.83288613,8.584560882,14.89848102,20.44113451,41.8528509,54.91630269,65.96537626
PF3D7_1330800,666.6498908,905.3630316,747.4923885,765.5570452,657.2550381,604.8375936,539.2152822,390.6287834,626.660053,683.7812059,774.956497,822.5273039,635.4838489,468.8520198,380.9112515,342.6260318
PF3D7_1330900,24.47662883,8.661886697,5.463429921,7.374745417,8.677929444,2.702485107,4.965046119,2.116457378,2.473876201,3.318960414,3.776658254,2.786310798,6.242182682,4.472749374,1.192928676,1.942564652
PF3D7_1331000,11.40488082,9.10688207,9.22538545,9.2808425,6.552510644,5.036889804,4.429192874,3.995224203,4.847260418,4.573318611,3.760113754,3.462082712,3.901005628,10.84788677,11.97204406,16.55550918
PF3D7_1331100,15.0070897,36.27092582,55.39006149,68.81779391,64.27476309,63.09416367,58.73864467,50.86297571,56.77131913,60.17670662,47.01189587,42.6115322,33.89843949,40.57208803,51.2049064,66.04546449
PF3D7_1331200,43.79396826,97.37545829,107.1260769,128.5358678,119.7894574,108.0110878,95.40676857,70.89440565,93.97495739,99.31573264,79.85287223,75.42030815,63.14364784,80.61180653,73.21307367,74.44381747
PF3D7_1331300,13.23061018,5.6185211,5.250142867,3.897763344,2.501745425,4.090247729,3.578411617,5.643886342,7.203214308,12.75756555,33.47956506,62.02320664,110.2569315,337.3500699,309.7745601,297.4632334
PF3D7_1331400,10.6640914,5.990239762,2.720380044,4.624091179,2.976661829,1.868938525,1.465020524,0.761105005,1.094938291,1.468972797,1.63672603,1.585571053,1.647048947,5.38214655,7.655863151,14.18636426
PF3D7_1331500,11.43030976,11.34460737,4.379346224,4.433556021,3.651903749,2.495047978,1.847789574,1.272373733,3.356929166,8.123703428,8.865585309,11.65716717,12.3302374,21.12731857,21.89917377,40.29022981
PF3D7_1331600,11.04476701,15.12993309,5.725865419,8.301508669,5.45686393,5.821947537,2.698132777,2.587808148,4.839722874,6.570285535,11.14123347,22.85134079,40.25861857,112.3721313,165.5861406,223.4939011
PF3D7_1331700,77.14976589,156.963315,219.7790356,288.534351,270.4416749,277.0120751,271.0935591,334.2728331,384.1049482,358.4204378,321.219145,280.0315261,227.5685829,284.1988522,248.9876233,214.0649409
PF3D7_1331800,1030.932295,1675.45637,2074.022063,1912.75143,2574.617696,2644.059952,2860.181806,3092.849716,3244.87739,3035.531731,3643.576011,3398.010267,3526.81035,2356.925932,2027.524301,1756.571795
PF3D7_1331900,5.439250852,3.849727421,0,10.92554877,4.628229037,2.402208984,2.942249552,3.762590895,0.439800214,2.950187034,3.357029559,3.538172441,4.268159099,2.981832916,3.71133366,0.575574712
PF3D7_1332000,53.81386481,99.11000381,111.249038,153.1901412,123.0911978,160.2324503,131.1492088,136.4939889,174.5164677,178.5281622,144.6379757,141.6774582,131.6772488,219.196441,209.4252565,204.5127167
PF3D7_1332100,12.63611814,12.80788855,12.72130698,10.77931771,10.88474515,8.198743854,5.147530287,6.474821808,5.222101962,4.005034024,3.530337012,2.293385196,1.909654358,5.24528926,8.36342603,12.67805101
PF3D7_1332200,71.89907937,60.05113731,39.9367155,23.94461586,19.95404136,12.47854068,10.04240865,5.097522096,4.832535281,5.240851219,4.020394682,3.273339175,4.766536957,19.43250393,47.74889499,77.42686165
