,ORF,dtw_score
3457,PF3D7_1411500,3.9585016402688424
1842,PF3D7_1008100,3.9530237545411
2520,PF3D7_1210200,3.9493764378863863
2848,PF3D7_1302300,3.9474124862049984
2699,PF3D7_1234100,3.945484574382133
1446,PF3D7_0825800,3.943029163014596
99,PF3D7_0205500,3.933309313251957
2780,PF3D7_1245600,3.9247557367879846
2404,PF3D7_1142600,3.9176912868728304
1047,PF3D7_0703500,3.917500754676776
1304,PF3D7_0807300,3.9173312104865894
3085,PF3D7_1333100,3.9070317665120364
523,PF3D7_0418400,3.9065099370363177
1302,PF3D7_0807100,3.9064173466460717
3751,PF3D7_1448700,3.905920065318346
2989,PF3D7_1321700,3.9035256150110724
896,PF3D7_0612800,3.896942945093077
2625,PF3D7_1225200,3.8928204748501
3285,PF3D7_1359500,3.890126521158874
2650,PF3D7_1227900,3.8831330739247543
194,PF3D7_0217200,3.876762331640707
1075,PF3D7_0706500,3.870446401021298
3740,PF3D7_1447300,3.8555795921417504
1480,PF3D7_0830800,3.8551827823906235
1316,PF3D7_0809200,3.8549323849721002
1561,PF3D7_0909800,3.8519261267475247
2954,PF3D7_1316900,3.8476841700430433
1814,PF3D7_1004300,3.847015441947795
2594,PF3D7_1221400,3.8464481971474327
991,PF3D7_0625500,3.8460653978419272
1087,PF3D7_0708100,3.8397154792914256
2146,PF3D7_1108900,3.839191123707894
2364,PF3D7_1136600,3.8357214965399944
2226,PF3D7_1119400,3.8333166058337635
2324,PF3D7_1131900,3.8323459174894636
2630,PF3D7_1225700,3.8280180957786905
706,PF3D7_0517700,3.8247041848664547
1366,PF3D7_0815200,3.8235616697262933
1731,PF3D7_0930400.1,3.8183228637211726
2477,PF3D7_1203900,3.8106096544771955
2009,PF3D7_1028500,3.8095419954989738
3714,PF3D7_1444300,3.8054125372562733
3861,PF3D7_1463000,3.804525042609605
2943,PF3D7_1315400,3.8011956557958326
547,PF3D7_0422500,3.8005955053526974
539,PF3D7_0420300,3.792553859888338
3064,PF3D7_1330800,3.7918482535952864
3690,PF3D7_1441100,3.7847515730487054
2623,PF3D7_1224900,3.7813505502118834
2084,PF3D7_1038200,3.7810399153205254
346,PF3D7_0316900,3.779324255158359
764,PF3D7_0524800,3.778677343257102
2489,PF3D7_1205800,3.7740063158622292
3891,PF3D7_1466900,3.771945690556837
