,ORF,dtw_score,cost
1005,PF3D7_1310300,1.7622811869049118,1.7622811869049118
1006,PF3D7_0608700,1.7617774324242148,1.7617774324242148
1007,PF3D7_0424500,1.7616759371805275,1.7616759371805275
1008,PF3D7_0907300,1.7611052754700558,1.7611052754700558
1009,PF3D7_1318800,1.7607781850905766,1.7607781850905766
1010,PF3D7_0313500,1.7597698161913344,1.7597698161913344
1011,PF3D7_0418400,1.7590720263581423,1.7590720263581423
1012,PF3D7_1016400,1.7590172507519162,1.7590172507519162
1013,PF3D7_0929300,1.7580111116317116,1.7580111116317116
1014,PF3D7_0826000,1.757921194749379,1.757921194749379
1015,PF3D7_0423200,1.7577055747774604,1.7577055747774604
1016,PF3D7_1232900,1.7574366361484053,1.7574366361484053
1017,PF3D7_0517100,1.7573170596658474,1.7573170596658474
1018,PF3D7_1317600,1.756491727256901,1.756491727256901
1019,PF3D7_0821200,1.755897671216278,1.755897671216278
1020,PF3D7_0203100,1.7551680572045747,1.7551680572045747
1021,PF3D7_0110100,1.7549069327485425,1.7549069327485425
1022,PF3D7_1420400,1.754891953021909,1.754891953021909
1023,PF3D7_1126600,1.754384954537626,1.754384954537626
1024,PF3D7_0911000,1.7541725702275637,1.7562274307901498
1025,PF3D7_1309700,1.7538289083135974,1.7538289083135974
1026,PF3D7_1449500,1.7525227930427019,1.7525227930427019
1027,PF3D7_1022100,1.752052907426428,1.752052907426428
1028,PF3D7_0602900,1.7519657970946365,1.7519657970946365
1029,PF3D7_1248400,1.7506083498468512,1.7506083498468512
1030,PF3D7_1103700,1.7496144193349403,1.7496144193349403
1031,PF3D7_1029300,1.7478518067650628,1.7478518067650628
1032,PF3D7_1119100,1.7464184759848504,1.7464184759848504
1033,PF3D7_0911400,1.7452672318374012,1.7452672318374012
1034,PF3D7_0604000,1.7447291073833424,1.7447291073833424
1035,PF3D7_0911900,1.7446856410388611,1.7446856410388611
1036,PF3D7_1454400,1.744562572460788,1.744562572460788
1037,PF3D7_1146900,1.7444295525210505,1.7444295525210505
1038,PF3D7_0708500,1.7442983666272107,1.7442983666272107
1039,PF3D7_1134600,1.7439097203863085,1.7477020301126283
1040,PF3D7_0811500,1.7433619569951644,1.7433619569951644
