,ORF,dtw_score
2326,PF3D7_1132100,3.1101748540074174
641,PF3D7_0509300,3.1044211138490763
3281,PF3D7_1359100,3.101146014094115
3219,PF3D7_1351800.2,3.0895128002237744
3297,PF3D7_1361000,3.083447507086916
3392,PF3D7_1402900,3.081863087038585
1494,PF3D7_0901900,3.071475782366241
2498,PF3D7_1206900,3.067310039246164
2165,PF3D7_1111700,3.0670025571421644
978,PF3D7_0623200,3.066325536059873
3253,PF3D7_1355800,3.062122829916366
3647,PF3D7_1436100,3.0544171753723197
2077,PF3D7_1037600,3.052396115452893
3134,PF3D7_1340500,3.0501415518936104
3113,PF3D7_1337300,3.0500159334182113
592,PF3D7_0503300,3.049156714946088
2497,PF3D7_1206800,3.048276312194822
1253,PF3D7_0800700,3.0455142590831574
2385,PF3D7_1139800,3.0449984562092447
1630,PF3D7_0917800,3.0449172784380374
2409,PF3D7_1143300,3.04187197302594
1739,PF3D7_0931200,3.0414737053741647
169,PF3D7_0214500,3.0401540741432282
3547,PF3D7_1422900,3.036540064187696
3177,PF3D7_1346200,3.0347152447606867
1339,PF3D7_0812000,3.0317993778888197
1228,PF3D7_0728000,3.030248209060637
3746,PF3D7_1448100,3.025878946936427
2932,PF3D7_1313900,3.0206728752306504
3088,PF3D7_1333400,3.0203000340983874
2429,PF3D7_1145800,3.0198227117634446
1025,PF3D7_0629600,3.0195663525647105
2774,PF3D7_1244500,3.019502632837057
1293,PF3D7_0806100,3.016612640579212
1566,PF3D7_0910300,3.015195258738293
2493,PF3D7_1206200,3.0111852135155552
1576,PF3D7_0911400,3.009969736527556
1421,PF3D7_0822300,3.0051548840417275
3351,PF3D7_1367700,3.0020407431113836
1936,PF3D7_1018800,3.0004067091590274
2170,PF3D7_1112500,2.996868364485934
2704,PF3D7_1234700,2.9897135411028684
1182,PF3D7_0721900,2.988162809068556
127,PF3D7_0208900,2.9868847916915753
3667,PF3D7_1438500,2.9862627417023435
1798,PF3D7_1002500,2.984085643984342
1167,PF3D7_0720100,2.980682473133659
1720,PF3D7_0928500,2.9794536952868254
2208,PF3D7_1117300,2.97936335246225
3945,PF3D7_1474000,2.9721226919855854
2337,PF3D7_1133600,2.967190384834792
2373,PF3D7_1138100,2.966105522171132
873,PF3D7_0609200,2.965577422336942
1087,PF3D7_0708100,2.965293873861564
3738,PF3D7_1447100,2.964428485106784
1332,PF3D7_0811200,2.9563226290991094
180,PF3D7_0215600,2.9521984804167327
465,PF3D7_0409000,2.951273085241323
1387,PF3D7_0818400,2.9437873404490733
2941,PF3D7_1315100,2.9437789017248037
3701,PF3D7_1442600,2.9400859319100534
1031,PF3D7_0630500,2.9272919291077417
2529,PF3D7_1211400,2.925939834432841
2043,PF3D7_1032900,2.9216756101484855
468,PF3D7_0409300,2.920168986862901
498,PF3D7_0415000,2.9178364265960757
2587,PF3D7_1220400,2.917121330440666
650,PF3D7_0510200,2.9141366186622477
3435,PF3D7_1408900,2.9135824275250943
700,PF3D7_0517100,2.9025361030821166
28,PF3D7_0106400,2.901442831751041
528,PF3D7_0419200,2.9011453727950722
3292,PF3D7_1360400,2.9003423528950085
2809,PF3D7_1249100,2.89658853688278
1431,PF3D7_0823300,2.882608185900721
884,PF3D7_0610700,2.88183122883759
683,PF3D7_0514900,2.878130528671363
396,PF3D7_0322700,2.8741224338516647
1335,PF3D7_0811500,2.8711718545398495
1937,PF3D7_1018900,2.871121409341136
3803,PF3D7_1455400,2.868807860423757
769,PF3D7_0525500,2.8684669505102067
30,PF3D7_0106700,2.868218146643594
427,PF3D7_0404300,2.8677545933019957
547,PF3D7_0422500,2.8676794108131696
747,PF3D7_0522800,2.866465027583354
