# pyDL periodicity scores computed on 2020-03-02 13:56:15
# Calculation time:  2161.778340 seconds
# Input files:  /Users/taylorlab/Documents/TaylorLab/jws48/Jupyter/Periodicity/data/AA13_FUP.tsv
# Period(s) of oscillation tested:  45.0000, 48.0000, 51.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  10000
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
PF3D7_1416100	48.0	0.3984257413758375	4.090788901477086	0.974322	1.396253859387528	1.5e-05	0.075	0.10471903945406459	1148561815.0133646
PF3D7_1416200	48.0	0.9316162307674262	7.423229200501506	0.002201	0.0031541469293641616	1.5e-05	0.075	0.00023656101970231212	14.571464432659264
PF3D7_1416300	51.0	0.7771552712227107	7.733599517661694	0.078466	0.11244583959994926	1.5e-05	0.075	0.008433437969996195	599964.4424166516
PF3D7_1416500	45.0	0.3453222208975334	3.4624164252882186	0.995405	1.4264668896972892	0.0009	4.5	6.419101003637802	264498286432548.38
PF3D7_1416800	51.0	0.801975928259807	8.617861281069011	0.052341	0.07500736230343008	1.5e-05	0.075	0.005625552172757256	178094.23334406395
PF3D7_1416900	51.0	0.6343554252961149	7.189816413646352	0.406251	0.5821787115861518	1.5e-05	0.075	0.04366340336896138	83259008.45120667
PF3D7_1417100	51.0	0.9134957178206585	8.388817510568769	0.003928	0.00562902732328143	0.0002	1.0	0.00562902732328143	183990.28178204544
PF3D7_1417200	48.0	0.2322764501395173	2.360399827917546	0.999958	1.4329915743721622	1.5e-05	0.075	0.10747436807791216	1241629759.6534607
PF3D7_1417300	48.0	0.958370948615052	7.067426476090621	0.000844	0.0012094956875889835	1.5e-05	0.075	9.071217656917376e-05	1.256922601009931
PF3D7_1417400	48.0	0.8869845090573093	6.695754281002171	0.008476	0.012146546739341497	1.5e-05	0.075	0.0009109910054506123	761.2952786569555
PF3D7_1417500	51.0	0.300450937537872	3.130260447919326	0.999256	1.4319855720348547	0.0038	19.0	27.207725868662237	2.0140810468881316e+16
PF3D7_1417600	48.0	0.27696196565951153	2.4769699911911585	0.999745	1.4326863343467398	0.0006	2.9999999999999996	4.298059003040219	79399428996369.75
PF3D7_1417700	48.0	0.5507424008774974	4.4943088164492195	0.680385	0.9750269234599889	0.0052	25.999999999999996	25.350700009959706	1.629184709989047e+16
PF3D7_1417800	48.0	0.912661774674318	8.214271779823548	0.004042	0.005792395224211695	0.0001	0.5	0.0028961976121058474	25017.340956382202
PF3D7_1417900	48.0	0.8517818559417504	8.481319947300616	0.020002	0.02866390135444887	1.5e-05	0.075	0.0021497926015836655	9949.360224035348
PF3D7_1418000	51.0	0.2995551021010825	1.2705665874915597	0.999292	1.4320371618983063	0.5598	2798.9999999999995	4008.272016153359	6.439790985881769e+22
PF3D7_1418200	51.0	0.7306293136968484	7.3077952157512565	0.150666	0.2159121768557841	0.0001	0.5	0.10795608842789205	1258208092.763751
PF3D7_1418300	51.0	0.7709000142158108	7.961892920008577	0.08636	0.1237583502134889	0.0001	0.5	0.06187917510674445	236953778.52199402
PF3D7_1418900	51.0	0.42505243053798303	4.0739587248252915	0.949754	1.3610466436852933	0.0054	27.0	36.74825937950292	4.962614661627083e+16
PF3D7_1419000	48.0	0.8082424460353747	7.041629423244859	0.046864	0.0671585377999646	0.0001	0.5	0.0335792688999823	37871431.86708239
PF3D7_1419100	48.0	0.2926489929656834	2.4911952428377124	0.99947	1.4322922451120395	0.0026	12.999999999999998	18.61979918645651	6455430246379158.0
PF3D7_1419200	51.0	0.7590918864641456	8.032432888678432	0.102668	0.14712855835709213	1.5e-05	0.075	0.011034641876781909	1343915.590532784
PF3D7_1419300	51.0	0.29756527537257094	2.629548234616845	0.999343	1.4321102475381962	0.034	170.0	243.45874208149334	1.4430332330399676e+19
PF3D7_1419400	48.0	0.24709905668554	2.05638014628768	0.999923	1.4329414175604729	0.0055	27.499999999999996	39.405888982913	6.119044344555538e+16
