# Prot. vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file:  C:\Users\Francis Motta\PycharmProjects\biochron\proteomics\data\clb1-6_linearSpline_time-series.tsv 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
YHP1_wb_p_r2	0.21957671957671956	0.20797720797720798	0.22153846153846155	0.25666666666666665	0.30434782608695654	0.25296442687747034	0.2077922077922078	0.22380952380952382	0.2789473684210526	0.36257309941520466	0.43137254901960786	0.22358034122740006	0.2077922077922078	0.0007	41.37931037999999	1.0	1.0
YHP1_2_p_r1	0.6031746031746031	0.6552706552706553	0.6984615384615385	0.73	0.7318840579710145	0.7509881422924901	0.7532467532467533	0.7571428571428571	0.7894736842105263	0.7719298245614035	0.6862745098039216	0.1862990810359232	0.6031746031746031	1.0	0.0	0.0	0.0
YHP1_2_p_r2	0.746031746031746	0.7293447293447294	0.7323076923076923	0.7133333333333334	0.6666666666666666	0.691699604743083	0.7445887445887446	0.7571428571428571	0.6684210526315789	0.6257309941520468	0.6535947712418301	0.1314118629908103	0.6257309941520468	1.0	62.06896556999999	0.0	0.0
YHP1_3_p_r1	0.43386243386243384	0.396011396011396	0.3723076923076923	0.4066666666666667	0.37681159420289856	0.3675889328063241	0.39826839826839827	0.4714285714285714	0.5263157894736842	0.49707602339181284	0.3333333333333333	0.19298245614035087	0.3333333333333333	0.1435	68.96551729999999	0.0	0.0
YHP1_3_p_r2	0.46825396825396826	0.45014245014245013	0.4492307692307692	0.5066666666666667	0.5688405797101449	0.6047430830039525	0.5714285714285714	0.5238095238095238	0.5473684210526316	0.52046783625731	0.49673202614379086	0.1555123137731833	0.4492307692307692	0.9554	13.793103459999998	0.0	0.0
YHP1_4_p_r1	0.38095238095238093	0.3732193732193732	0.37538461538461537	0.4066666666666667	0.44565217391304346	0.43478260869565216	0.4588744588744589	0.5	0.5368421052631579	0.5789473684210527	0.5751633986928104	0.20572799520167945	0.3732193732193732	0.4164	6.896551729999999	0.0	0.0
YHP1_4_p_r2	0.4417989417989418	0.46438746438746437	0.49538461538461537	0.5066666666666667	0.5652173913043478	0.616600790513834	0.696969696969697	0.780952380952381	0.6947368421052632	0.6374269005847953	0.5816993464052288	0.33915343915343915	0.4417989417989418	0.9374	0.0	0.0	0.0
YHP1_5_p_r1	0.2275132275132275	0.27350427350427353	0.2953846153846154	0.29333333333333333	0.32608695652173914	0.37549407114624506	0.39826839826839827	0.41904761904761906	0.4	0.38596491228070173	0.35294117647058826	0.19153439153439156	0.2275132275132275	0.0013	0.0	0.0	0.0
YHP1_5_p_r2	0.3439153439153439	0.358974358974359	0.37538461538461537	0.38	0.44565217391304346	0.5098814229249012	0.5974025974025974	0.6523809523809524	0.6263157894736842	0.5614035087719298	0.5816993464052288	0.3084656084656085	0.3439153439153439	0.1963	0.0	0.0	0.0
TOS4_1_p_r1	0.3862433862433862	0.3903133903133903	0.40615384615384614	0.42	0.4492753623188406	0.4031620553359684	0.329004329004329	0.3142857142857143	0.3736842105263158	0.4619883040935672	0.48366013071895425	0.16937441643323997	0.3142857142857143	0.0686	48.27586210999999	0.0	0.0
TOS4_1_p_r2	0.48677248677248675	0.45584045584045585	0.44	0.41	0.38768115942028986	0.3438735177865613	0.2597402597402597	0.3380952380952381	0.4842105263157895	0.6432748538011696	0.7124183006535948	0.4526780409133351	0.2597402597402597	0.0074	41.37931037999999	1.0	1.0
TOS4_2_p_r1	0.3306878306878307	0.3418803418803419	0.36615384615384616	0.4033333333333333	0.48188405797101447	0.466403162055336	0.38095238095238093	0.36666666666666664	0.3526315789473684	0.3684210526315789	0.4117647058823529	0.15119622728318377	0.3306878306878307	0.1256	0.0	0.0	0.0
TOS4_2_p_r2	0.43915343915343913	0.42450142450142453	0.40615384615384614	0.36	0.36231884057971014	0.33992094861660077	0.2857142857142857	0.32857142857142857	0.4105263157894737	0.543859649122807	0.6470588235294118	0.3613445378151261	0.2857142857142857	0.0223	41.37931037999999	0.0	0.0
PCL1_1_p_r1	0.2751322751322751	0.2905982905982906	0.27692307692307694	0.28	0.2753623188405797	0.2490118577075099	0.24675324675324675	0.2761904761904762	0.3	0.29239766081871343	0.30718954248366015	0.0604362957304134	0.24675324675324675	0.0038	41.37931037999999	1.0	1.0
PCL1_1_p_r2	0.26455026455026454	0.3076923076923077	0.38153846153846155	0.38666666666666666	0.37681159420289856	0.3675889328063241	0.329004329004329	0.3333333333333333	0.34210526315789475	0.4152046783625731	0.3660130718954248	0.15065441381230854	0.26455026455026454	0.0092	0.0	0.0	0.0
