ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean
PF3D7_0307400,0.3106000024855828,0.4026623257737036,0.5742678844712016,0.31556598738871433,0.6037743220183294,0.6118312137665114,0.47406762991298723
PF3D7_1304500,0.3548273116858651,0.5616448710079743,0.45969050882600804,0.3957284449236967,0.4960617170523831,0.5171383319567064,0.47828138545251553
PF3D7_0211200,0.3129995950560742,0.3081377045605377,0.74114652260894,0.29115145595578246,0.5875550913566192,0.6777728844659229,0.4819976936204698
PF3D7_1035100,0.34552905534086314,0.5440651211344303,0.4700260668539898,0.5769507874377389,0.33891703874702156,0.753860443268925,0.4824897535432951
PF3D7_0624200,0.24329048964433295,0.4932077061572274,0.5365371154697932,0.4127473437238739,0.49441057368671426,0.5051756884804098,0.4842256847594022
PF3D7_0604700,0.3878827160544252,0.3852613764414575,0.6385893344793575,0.28414775390526775,0.6306117818424507,0.7222974133789354,0.48465256166713333
PF3D7_1364100,0.34965676219911274,0.4526455842396743,0.37675411957386057,0.49169048046822933,0.6310827315119374,0.5778430454313754,0.4880432289484254
PF3D7_0417200,0.2541144048844572,0.43960482508547494,0.582698752813318,0.29886421057238854,0.6354257749721305,0.7243713618995945,0.48914839086082795
PF3D7_1024500,0.266013911220123,0.36726225040840643,0.6242724531466811,0.36352471071461906,0.6040165897419678,0.470741367913564,0.4897690010029186
PF3D7_0915700,0.1900187994442563,0.41027357994335706,0.5741709352948918,0.42481494307144957,0.5674306479964132,0.5291996794053782,0.4941725265765279
PF3D7_0821000,0.28269718669412724,0.534812860454188,0.5182469742503301,0.39034197744333465,0.5400213762301463,0.7241263025893758,0.4958557970944998
PF3D7_0721100,0.22529607456763057,0.3836482805845389,0.5067899640129351,0.484694935213088,0.6098156112467438,0.42826681521881965,0.4962371977643264
PF3D7_0704900,0.5204167087583762,0.5989840802182601,0.48300592354567007,0.4317318987008914,0.4783188568015026,0.5975434104520607,0.4980101898165811
PF3D7_1417800,0.1738299396095427,0.5040647327548461,0.5137319640445802,0.5084087414588347,0.48150938299661944,0.6508872302242316,0.5019287053137201
PF3D7_1305200,0.39104679412552323,0.495145874541992,0.48287867243851335,0.4881722188881636,0.5424401527977986,0.6118564047219679,0.5021592296666169
PF3D7_0527000,0.27809918723745725,0.45900131304566866,0.5356513947674851,0.5280814795789132,0.4900827557074442,0.5106015186995985,0.5032042357748778
PF3D7_0819700,0.4640957635892739,0.60465824971151,0.5891339532794125,0.4668470955693577,0.35953300792651205,0.5431636137808762,0.5050430766216981
PF3D7_0715800,0.2850238049312897,0.5988357506570007,0.49852982826329145,0.45041201195419917,0.47991516134181034,0.664740956427326,0.5069231880540754
PF3D7_1345500,0.3861804498425696,0.493899483909372,0.5718941231054162,0.24321979462391088,0.7196331020106832,0.7058427917111519,0.5071616259123456
PF3D7_0929400,0.43094301535080914,0.37863214070338186,0.3748877352759812,0.5643328768146915,0.711287287797355,0.41223791733946985,0.5072850101478523
PF3D7_1320800,0.31742458527904416,0.38741434395572194,0.6691300288609843,0.30755668221828597,0.6667330152145446,0.7013073443905046,0.5077085175623842
PF3D7_1315300,0.6446276407039963,0.5610789373949427,0.4471864815456683,0.5902049158545789,0.4329033631445274,0.5465002933129144,0.5078434244849294
PF3D7_0907900,0.4118814875656858,0.4138678066830082,0.7454241873478237,0.28511266845173666,0.6069895491156343,0.5710832256771338,0.5128485528995508
PF3D7_0719500,0.2090984885272757,0.5420358830167824,0.5170688092019541,0.4964816082405199,0.5065200876204831,0.8305944203858969,0.5155265970199349
PF3D7_0904400,0.4285264402159826,0.6219726569492638,0.6693279174242719,0.37138366556371316,0.4001557390618419,0.4535169878234197,0.5157099947497726
PF3D7_0805700,0.6452952787574204,0.49399982084528665,0.42791571250913973,0.5499124634237708,0.5917829702203751,0.45100508680466744,0.515902741749643
PF3D7_1200600,0.6399733973134479,0.4873308380452841,0.6150153399768469,0.4727939967635129,0.4888971825636256,0.5454724131164285,0.5160093393373174
PF3D7_1029800,0.2916925358702189,0.3921294175051708,0.651815991647543,0.42297296265554885,0.6089381001549284,0.5082240709305113,0.5189641179907978
PF3D7_1303100,0.253457172278891,0.4200142048974728,0.7041676200530756,0.3448128165053461,0.6143321410616203,0.6318514717627677,0.5208316956293787
