# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_3D7_1stage_periodic_jtk05.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_3D7_1stage_periodic_jtk05.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
PF3D7_1240400	0.05	0.09523809523809523	0.17582417582417584	0.2564102564102564	0.3181818181818182	0.4	0.4888888888888889	0.5833333333333334	0.6785714285714286	0.8095238095238095	0.8666666666666667	1.0	1.0	1.0	1.0	0.95	0.05	0.6056	0.0	0.0	0.0
PF3D7_1210400	0.06666666666666667	0.13333333333333333	0.17582417582417584	0.24358974358974358	0.2878787878787879	0.34545454545454546	0.4222222222222222	0.5277777777777778	0.6071428571428571	0.6190476190476191	0.6666666666666666	0.5	0.5	0.0	1.0	1.0	0.0	0.0	39.0	0.0	0.0
PF3D7_0101500	0.058333333333333334	0.08571428571428572	0.2087912087912088	0.3076923076923077	0.45454545454545453	0.6181818181818182	0.7555555555555555	0.8611111111111112	0.9285714285714286	0.9523809523809523	0.9333333333333333	1.0	1.0	1.0	1.0	0.9416666666666667	0.058333333333333334	0.6018	0.0	0.0	0.0
PF3D7_0424400	0.15833333333333333	0.17142857142857143	0.14285714285714285	0.14102564102564102	0.24242424242424243	0.32727272727272727	0.37777777777777777	0.4722222222222222	0.5357142857142857	0.5238095238095238	0.6	0.8	0.6666666666666666	0.3333333333333333	1.0	0.858974358974359	0.14102564102564102	0.6276	9.0	0.0	0.0
PF3D7_0831900	0.1	0.17142857142857143	0.2967032967032967	0.4358974358974359	0.5909090909090909	0.7272727272727273	0.8444444444444444	0.8611111111111112	0.9642857142857143	0.9523809523809523	0.9333333333333333	0.9	0.8333333333333334	0.6666666666666666	1.0	0.9	0.1	0.6108	0.0	0.0	0.0
PF3D7_1203700	0.15833333333333333	0.1523809523809524	0.3956043956043956	0.5256410256410257	0.5909090909090909	0.6181818181818182	0.5777777777777777	0.6666666666666666	0.75	0.8095238095238095	1.0	0.9	0.8333333333333334	0.6666666666666666	0.0	1.0	0.0	0.0	42.0	0.0	0.0
PF3D7_1001500	0.03333333333333333	0.12380952380952381	0.21978021978021978	0.3076923076923077	0.4393939393939394	0.6	0.7777777777777778	0.9444444444444444	0.9642857142857143	0.9523809523809523	0.9333333333333333	1.0	1.0	1.0	1.0	0.9666666666666667	0.03333333333333333	0.6	0.0	0.0	0.0
PF3D7_1451200	0.15833333333333333	0.1523809523809524	0.21978021978021978	0.28205128205128205	0.24242424242424243	0.36363636363636365	0.4888888888888889	0.6111111111111112	0.6428571428571429	0.5238095238095238	0.6	0.6	0.6666666666666666	0.6666666666666666	0.0	0.6666666666666666	0.0	0.0	42.0	0.0	0.0
PF3D7_1426800	0.14166666666666666	0.20952380952380953	0.17582417582417584	0.20512820512820512	0.25757575757575757	0.2727272727272727	0.37777777777777777	0.4722222222222222	0.6071428571428571	0.38095238095238093	0.6	0.7	0.5	0.0	1.0	1.0	0.0	0.0	39.0	0.0	0.0
PF3D7_1218000	0.09166666666666666	0.14285714285714285	0.3076923076923077	0.46153846153846156	0.6212121212121212	0.6727272727272727	0.7333333333333333	0.7777777777777778	0.8214285714285714	0.7619047619047619	0.6666666666666666	0.6	0.8333333333333334	1.0	1.0	0.9083333333333333	0.09166666666666666	0.6083	0.0	0.0	0.0
