pro	tec	pep	76.896552	83.793103	90.689655	97.586207	104.482759	111.379310	118.275862	125.172414	132.068965	138.965517	145.862069	152.758621	159.655172	166.551724	173.448276	180.344828	187.241379	194.137931	201.034483	207.931035	214.827586	221.724138	228.620690	235.517241	242.413793	249.310345	256.206897	263.103448	avg_cov	simp_snr	comp_snr
GAT1	ms	1	0.367840	0.443536	0.017550	0.083822	0.036195	0.027855	0.281444	0.179497	0.086262	0.013026	0.205195	0.263494	0.062755	0.083479	0.156881	0.101213	0.180766	0.078102	0.079878	0.152838	0.123722	0.201742	0.070536	0.115839	0.397666	0.241831	0.162536	0.277394	0.160460	5.260381	4.474751
HCM1	ms	1	0.174088	0.257259	0.291390	0.296921	0.473074	0.381896	0.425299	0.433022	0.235668	0.307479	0.321996	0.270644	0.444539	0.407746	0.400598	0.394630	0.336737	0.383807	0.320854	0.294256	0.425379	0.320696	0.410634	0.360278	0.104776	0.269833	0.356417	0.181649	0.331484	6.944644	2.770280
HCM1	ms	2	0.536392	0.565731	0.080846	0.259916	0.021984	0.073126	0.297370	0.266643	0.074334	0.241460	0.297368	0.316673	0.173704	0.099687	0.074415	0.099324	0.279759	0.237884	0.073356	0.066484	0.058637	0.115843	0.094650	0.138446	0.006477	0.057690	0.123425	0.013081	0.169454	8.189105	5.347578
INO4	ms	1	0.193994	0.199873	0.428243	0.411601	0.455770	0.470105	0.578457	0.471883	0.296592	0.183521	0.290111	0.380898	0.385542	0.275296	0.389358	0.505083	0.402133	0.358031	0.297487	0.302827	0.386060	0.349308	0.497600	0.486762	0.229179	0.346352	0.379321	0.286098	0.365624	9.454934	2.611631
INO4	ms	3	0.141855	0.310118	0.191609	0.096158	0.009617	0.069998	0.354238	0.262459	0.077925	0.016228	0.206974	0.246325	0.109076	0.094481	0.111262	0.268454	0.189236	0.184677	0.119531	0.123014	0.078194	0.188619	0.094879	0.394163	0.135210	0.115307	0.042088	0.026224	0.152069	10.099741	5.513332
IXR1	ms	2	0.250151	0.188797	0.043113	0.154510	0.004363	0.093280	0.267359	0.177087	0.064860	0.064443	0.200394	0.350584	0.118505	0.093449	0.121100	0.168724	0.260901	0.076926	0.062163	0.059036	0.073047	0.132785	0.064709	0.142117	0.098288	0.025277	0.045066	0.072604	0.124059	10.141946	6.390631
MBP1	ms	1	0.420568	0.369417	0.323953	0.286696	0.435026	0.381563	0.454764	0.357717	0.016678	0.083877	0.389186	0.539489	0.359555	0.233070	0.355225	0.483540	0.302229	0.382940	0.496015	0.540498	0.581597	0.450835	0.378917	0.392297	0.658341	0.882280	0.517795	0.426932	0.410750	6.772655	2.315923
MBP1	ms	2	0.592965	0.378904	0.433565	0.208464	0.298189	0.391064	0.046221	0.077768	0.542491	0.335252	0.212795	0.020069	0.052116	0.343613	0.017088	0.631066	0.886242	0.069010	0.393630	0.551841	0.088198	0.245433	0.464784	0.059157	0.261673	0.472924	0.715816	0.155893	0.319508	3.451282	2.539007
MCM1	ms	1	0.162553	0.131771	0.232356	0.170865	0.187152	0.189895	0.405278	0.366738	0.161362	0.372932	0.364464	0.354326	0.326236	0.199600	0.137592	0.085074	0.011576	0.034971	0.033621	0.018781	0.178344	0.112522	0.015554	0.045603	0.072812	0.064285	0.036059	0.032942	0.160902	7.089853	4.543638
MET32	ms	1	0.058373	0.174607	0.167645	0.088007	0.367489	0.387338	0.536442	0.477946	0.206760	0.287015	0.227656	0.058177	0.274806	0.241262	0.181159	0.090083	0.058416	0.186001	0.239293	0.149357	0.327123	0.076362	0.068736	0.076978	0.323362	0.248655	0.943563	0.452024	0.249094	5.521509	3.292223
MSN2	ms	1	0.019354	0.083098	0.076059	0.017363	0.122676	0.178656	0.222934	0.126314	0.163015	0.042401	0.059633	0.088792	0.068864	0.136895	0.233098	0.300948	0.215467	0.271237	0.159702	0.031766	0.203546	0.131460	0.254059	0.313708	0.009973	0.017371	0.146554	0.076381	0.134690	11.006679	6.168531
MSN2	ms	2	0.179550	0.078523	0.193219	0.220902	0.078235	0.083973	0.055942	0.171305	0.036018	0.520491	0.387214	0.071276	0.141502	0.128943	0.166179	0.154894	0.028577	0.061306	0.023736	0.184224	0.120713	0.288732	0.006784	0.273543	0.260290	0.012661	0.125122	0.280039	0.154782	7.805219	5.050825
MSN4	ms	2	0.005984	0.031672	0.137812	0.029972	0.096570	0.098762	0.276432	0.174435	0.007452	0.024614	0.199634	0.285582	0.050374	0.028176	0.102947	0.158502	0.087512	0.184363	0.189110	0.151966	0.027915	0.115568	0.054919	0.224579	0.071601	0.036666	0.067715	0.005841	0.104524	12.119292	7.498079
MSN4	ms	3	0.049062	0.013999	0.232672	0.124913	0.151004	0.163815	0.322623	0.230019	0.062755	0.181360	0.252181	0.260000	0.187321	0.176504	0.236870	0.244826	0.017237	0.059692	0.020665	0.024065	0.056556	0.051059	0.070910	0.189110	0.016578	0.054653	0.100764	0.146835	0.132073	10.818068	6.227816
NDD1	ms	1	0.355882	0.783857	0.026199	0.239274	0.295368	0.075854	0.447654	0.514154	0.200320	0.475433	0.588463	0.552349	0.311888	0.089300	0.033298	0.249731	0.371728	0.189739	0.260819	0.336637	0.024403	0.096091	0.012144	0.121603	0.063231	0.288059	0.382113	0.134494	0.268574	4.658986	3.139248
NDD1	ms	2	0.650664	0.803880	1.371352	0.864169	0.129731	0.280531	0.679315	0.591430	0.460419	0.253929	0.438698	0.547656	0.388167	0.327905	0.343275	0.350032	0.327805	0.396103	0.314862	0.286471	0.215364	0.030516	0.190876	0.352228	0.255935	0.235721	0.218445	0.218922	0.411586	5.623299	2.961217
NRM1	wb	0	1.414214	1.414214	1.414214	1.414214	0.736916	0.557705	0.527112	0.430123	0.255056	0.263361	0.281644	0.297727	0.311601	0.300866	0.232130	0.161628	0.095535	0.036759	0.021076	0.050370	0.081004	0.084843	0.088669	0.012824	0.109890	0.218312	0.221743	0.225110	0.402102	7.995461	4.889332
NRM1	ms	1	0.043526	0.966752	0.770987	0.562826	0.275913	0.100579	0.233961	0.195324	0.019138	0.074748	0.187911	0.239890	0.244914	0.151227	0.116951	0.125838	0.161505	0.135660	0.106942	0.185054	0.166258	0.065205	0.150222	0.158257	0.140672	0.241557	0.188246	0.133389	0.219409	12.151875	5.836376
NRM1	ms	2	1.414214	0.983464	0.273338	0.259991	0.380008	0.333356	0.654314	0.498063	0.035690	0.058289	0.275278	0.464591	0.220515	0.248169	0.317001	0.393642	0.276213	0.249154	0.250613	0.084198	0.287483	0.157418	0.213721	0.234887	0.077100	0.233891	0.044218	0.041437	0.320009	4.629930	3.229937
PCL1	ms	1	0.576056	0.552390	0.189441	0.099362	0.199020	0.368220	0.435636	0.361007	0.143779	0.238395	0.354770	0.392371	0.210694	0.095505	0.152128	0.226350	0.247920	0.139623	0.030863	0.010304	0.030957	0.062430	0.003467	0.119548	0.074577	0.035855	0.082639	0.031182	0.195160	8.528093	5.388586
PCL1	ms	2	1.414214	1.414214	0.959084	0.468460	0.112955	0.884916	0.540229	0.432050	0.440848	0.928312	1.414214	1.414214	1.333135	0.207253	0.891808	1.069842	0.380618	0.206102	0.084043	0.042694	0.393916	0.166482	0.167859	0.067944	0.559989	1.053142	1.345032	1.414214	0.707421	1.727644	1.632834
PCL2	ms	2	0.054738	0.062341	0.132967	0.468967	0.441015	0.045475	0.230454	0.261635	0.242629	0.982397	0.618442	1.022084	0.666668	0.545493	0.123125	0.232519	0.307255	0.443907	0.065498	0.202380	0.669434	0.130035	0.465878	0.655007	0.147716	0.792574	1.202159	0.029238	0.401501	1.658735	1.798875
PDS1	ms	2	0.034002	0.037892	0.416476	0.055890	0.010316	0.109171	0.369050	0.280439	0.063635	0.219787	0.272062	0.293344	0.334788	0.222664	0.185159	0.176320	0.230024	0.208843	0.089076	0.008103	0.006903	0.106473	0.117965	0.253059	0.137870	0.057529	0.030362	0.055179	0.156514	8.331826	5.739459
PDS1	ms	3	1.414214	1.414214	1.143582	0.107313	1.305493	0.682270	0.684239	0.804547	0.859511	1.369722	0.896800	0.460862	0.842619	0.020505	0.238071	0.531976	0.476329	0.827980	1.228880	0.720472	0.380349	0.954775	1.223441	0.600135	1.370804	0.329165	0.589445	0.521026	0.785669	1.838780	1.383621
PHD1	ms	1	0.964539	0.097114	0.572677	0.364593	0.218112	0.167800	0.060235	0.184337	0.068869	0.157861	0.070709	0.045967	0.056011	0.135059	0.360072	0.633653	0.395199	0.118214	0.196276	0.095673	0.001568	0.126568	0.041669	0.025631	0.378162	0.124343	0.453136	0.697411	0.243266	1.871767	2.636854
PLM2	ms	1	0.565685	0.354714	0.273308	0.194267	0.027682	0.079038	0.292233	0.213718	0.036762	0.024775	0.128868	0.250239	0.150297	0.092166	0.060194	0.010483	0.150313	0.042514	0.063335	0.037083	0.118397	0.117162	0.091751	0.024451	0.202666	0.239722	0.106415	0.109241	0.144910	10.172870	6.899619
PLM2	ms	2	0.721907	0.115245	0.031285	0.421620	0.065524	0.052870	0.239356	0.146992	0.032990	0.015891	0.275427	0.380290	0.007578	0.030003	0.098040	0.211378	0.012512	0.001543	0.034391	0.139923	0.075436	0.058114	0.189391	0.187389	0.293075	0.239561	0.140902	0.023389	0.151501	7.524074	5.746698
SIC1	ms	1	0.227715	0.169776	0.118894	0.091631	0.101165	0.111083	0.233491	0.102326	0.190895	0.021158	0.200211	0.291336	0.018206	0.028090	0.003049	0.050293	0.111442	0.040273	0.110009	0.122424	0.008298	0.184764	0.064878	0.231826	0.195855	0.085091	0.012459	0.192386	0.118537	5.250094	6.247507
SIC1	ms	2	0.373178	0.259950	0.042027	0.059284	0.230725	0.341673	0.289429	0.338358	0.480560	0.493790	0.542624	0.586295	0.404644	0.690088	0.602694	0.461429	0.838844	0.726070	0.617839	0.563384	0.776104	0.759807	0.684419	0.643108	0.684119	0.466287	0.760554	0.988441	0.525204	5.053980	2.360210
STB1	ms	2	0.002361	0.084803	0.003033	0.116487	0.106370	0.129866	0.445036	0.485526	0.266290	0.364057	0.660850	0.971864	0.090720	0.015368	0.266875	0.516188	0.394324	0.041863	0.003844	0.189641	0.440211	0.229491	0.248834	0.111644	0.354557	0.762150	0.682887	0.162929	0.291003	2.395958	1.927031
STB1	ms	3	0.108557	0.248364	0.639554	0.842775	0.089151	0.146385	0.306777	0.179856	0.337315	0.227834	0.620487	0.716359	0.018071	0.187437	0.130871	0.255199	0.015232	0.148602	0.201292	0.043124	0.078438	0.542980	0.390258	0.197820	0.041654	0.128048	0.311279	0.132286	0.260214	4.570309	3.223002
SWE1	ms	1	1.414214	1.414214	1.414214	1.387752	1.303422	1.266476	1.250002	1.301167	1.372585	1.317825	1.097929	1.051606	1.345306	1.375823	1.393347	1.391060	1.378799	1.373208	1.384201	1.384238	1.207804	1.301663	1.389979	1.269191	1.333137	1.354698	1.340874	1.248984	1.323704	1.621779	0.736750
