	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_1308400	0.9202530000000001	1.5327753011200342	1.0	20.649750973589754	3.170882306997419e+16
PF3D7_1228900	0.92105	1.5341027859693015	1.0	20.649750973589754	3.179128023650486e+16
PF3D7_1447100	0.92148	1.534818994859119	1.0	20.649750973589754	3.1835827100493076e+16
PF3D7_1359100	0.9243959999999999	1.5396758904933263	1.0	20.649750973589754	3.213901541872298e+16
PF3D7_1470600	0.925542	1.5415846704647946	1.0	20.649750973589754	3.225869458539806e+16
PF3D7_1134200	0.925842	1.5420843510855982	1.0	20.649750973589754	3.2290073203043216e+16
PF3D7_0915900	0.926485	1.5431553332161863	1.0	20.649750973589754	3.2357396572074864e+16
PF3D7_1307200	0.9277049999999999	1.5451873677407857	1.0	20.649750973589754	3.2485390067220984e+16
PF3D7_1246600	0.927839	1.5454105584180775	1.0	20.649750973589754	3.249946890644593e+16
PF3D7_1456900	0.9278709999999999	1.545463857684297	1.0	20.649750973589754	3.250283161888683e+16
PF3D7_0903100	0.928019	1.5457103667905598	1.0	20.649750973589754	3.251838718123208e+16
PF3D7_1362300	0.928624	1.5467180560425133	1.0	20.649750973589754	3.258202741044105e+16
PF3D7_1469300	0.9289959999999999	1.547337660012309	1.0	20.649750973589754	3.2621199454847504e+16
PF3D7_1327000	0.929557	1.548272062773211	1.0	20.649750973589754	3.268033278140202e+16
PF3D7_1200900	0.9305459999999999	1.5499193432197922	1.0	20.649750973589754	3.2784754263910224e+16
PF3D7_0807000	0.930718	1.5502058267757193	1.0	20.649750973589754	3.2802937196923876e+16
PF3D7_1219000	0.9309850000000001	1.5506505425282342	1.0	20.649750973589754	3.2831176345425816e+16
PF3D7_0906200	0.932585	1.5533155058391843	1.0	20.649750973589754	3.3000739327564228e+16
PF3D7_0607400	0.932941	1.553908460175871	1.0	20.649750973589754	3.3038546321808212e+16
PF3D7_1368900	0.933499	1.5548378661305648	1.0	20.649750973589754	3.3097863681814092e+16
PF3D7_1311400	0.9335200000000001	1.5548728437740211	1.0	20.649750973589754	3.310009744076313e+16
PF3D7_0418400	0.934436	1.5563985352695404	1.0	20.649750973589754	3.319762970982861e+16
PF3D7_1020500	0.935283	1.5578093002222746	1.0	20.649750973589754	3.328798543128715e+16
PF3D7_1244600	0.935515	1.5581957199023624	1.0	20.649750973589754	3.3312763149875984e+16
PF3D7_1472100	0.9359729999999999	1.558958565650122	1.0	20.649750973589754	3.3361713873395004e+16
PF3D7_1353600	0.938027	1.5623797123005547	1.0	20.649750973589754	3.358183378068599e+16
PF3D7_1130100	0.9384030000000001	1.5630059786786281	1.0	20.649750973589754	3.362223292076978e+16
PF3D7_1447400	0.939209	1.5643484539465191	1.0	20.649750973589754	3.3708942346041504e+16
PF3D7_0926200	0.9414610000000001	1.568099389806682	1.0	20.649750973589754	3.395200225001384e+16
PF3D7_0532200	0.942002	1.5690004805261972	1.0	20.649750973589754	3.401056628582302e+16
PF3D7_1250900	0.9422649999999999	1.5694385338704346	1.0	20.649750973589754	3.4039060728696124e+16
PF3D7_1144600	0.942443	1.5697350110387778	1.0	20.649750973589754	3.405835496911816e+16
PF3D7_0621300	0.942649	1.5700781250650626	1.0	20.649750973589754	3.408069335850972e+16
PF3D7_0310500	0.942793	1.5703179717630482	1.0	20.649750973589754	3.409631434229221e+16
PF3D7_1423200	0.9446690000000001	1.5734426412451377	1.0	20.649750973589754	3.430025740863698e+16
PF3D7_1246500	0.944896	1.5738207329148786	1.0	20.649750973589754	3.4324989968291484e+16
PF3D7_0811200	0.9456629999999999	1.5750982497020656	1.0	20.649750973589754	3.4408645640283224e+16
PF3D7_1127300	0.945686	1.5751365585496604	1.0	20.649750973589754	3.4411156316555644e+16
PF3D7_1366000	0.9470719999999999	1.5774450830177713	1.0	20.649750973589754	3.4562677384487e+16
PF3D7_0610700	0.9472010000000001	1.5776599456847165	1.0	20.649750973589754	3.4576802577237236e+16
PF3D7_1220400	0.9485370000000001	1.5798851900493602	1.0	20.649750973589754	3.472331778147163e+16
PF3D7_1247200	0.9499569999999999	1.5822503449878291	1.0	20.649750973589754	3.4879498140432596e+16
PF3D7_1117800	0.950059	1.5824202363989015	1.0	20.649750973589754	3.4890734722338856e+16
PF3D7_1449500	0.950491	1.5831397764928583	1.0	20.649750973589754	3.4938351706612052e+16
PF3D7_0910200	0.950664	1.5834279256508548	1.0	20.649750973589754	3.4957432687201212e+16
PF3D7_1314400	0.951615	1.585011913218801	1.0	20.649750973589754	3.5062447004532076e+16
PF3D7_0208400	0.9521	1.5858197302224328	1.0	20.649750973589754	3.511608408675399e+16
PF3D7_0407300	0.952168	1.5859329911631483	1.0	20.649750973589754	3.5123608706966572e+16
PF3D7_0405500	0.953515	1.5881765571505546	1.0	20.649750973589754	3.5272884202182252e+16
PF3D7_1353300	0.954039	1.589049332634891	1.0	20.649750973589754	3.5331068327886868e+16
PF3D7_1443800	0.954471	1.5897688727288477	1.0	20.649750973589754	3.53790850121191e+16
PF3D7_1319800	0.9549219999999999	1.5905200592621218	1.0	20.649750973589754	3.5429259937451108e+16
PF3D7_1435400	0.955263	1.591088029567768	1.0	20.649750973589754	3.5467228554342852e+16
PF3D7_0505100	0.9562139999999999	1.5926720171357145	1.0	20.649750973589754	3.5573260868213016e+16
PF3D7_0523200	0.95735	1.594564141086489	1.0	20.649750973589754	3.5700196602276536e+16
PF3D7_1244400	0.95814	1.5958799667212709	1.0	20.649750973589754	3.5788648351595524e+16
PF3D7_1428800.2	0.9587899999999999	1.5969626080663444	1.0	20.649750973589754	3.586153456930251e+16
PF3D7_0307800	0.959298	1.597808733917571	1.0	20.649750973589754	3.5918566793806476e+16
PF3D7_1136500.1	0.960356	1.5995709409069367	1.0	20.649750973589754	3.603754054643364e+16
PF3D7_0906890	0.960397	1.59963923059178	1.0	20.649750973589754	3.604215634055001e+16
PF3D7_1363400	0.960649	1.6000589623132548	1.0	20.649750973589754	3.607053524357269e+16
PF3D7_0405600	0.960888	1.6004570412078283	1.0	20.649750973589754	3.6097463915667864e+16
PF3D7_0422200	0.961224	1.6010166835031276	1.0	20.649750973589754	3.6135344458510504e+16
PF3D7_1026000	0.9613719999999999	1.6012631926093903	1.0	20.649750973589754	3.6152038339652904e+16
