ORF,AA13vAA17,AA13vAS15,AA13vAS16,AA17vAS15,AA17vAS16,AS15vAS16
PF3D7_0626600,2.187336683,2.124690878,4.339110575,2.724746102,4.090922974,3.213047424
PF3D7_0626700,1.860079859,2.70095306,3.127756168,2.103924164,3.721861438,3.471216893
PF3D7_0626800,0.882848609,0.973732481,2.762263681,0.450326409,2.872338408,2.846280796
PF3D7_0626900,0.40446029,1.004153164,1.36661562,0.844284443,1.318397664,1.102208889
PF3D7_0627100,2.003615462,2.277753928,3.42844941,2.144153418,3.815624675,2.934470738
PF3D7_0627300,2.221410935,3.444119237,2.926966144,2.700767677,1.843168924,2.646100888
PF3D7_0627400,0.675010737,0.729638713,1.311531534,0.845956714,1.304008531,1.393498349
PF3D7_0627500,0.963785276,1.41735248,2.801476643,1.192476357,2.603294518,2.783838921
PF3D7_0627600,2.854661296,3.329269767,3.173381046,1.94119343,4.06557328,3.651947642
PF3D7_0627700,1.643284564,2.627258528,2.012561827,2.193261161,2.257025257,2.953129609
PF3D7_0627800,2.120836741,2.021600366,5.477109098,2.910105565,4.763004708,5.048189728
PF3D7_0627900,2.073968647,3.579637507,3.360307203,2.805835433,3.112647103,2.642495114
PF3D7_0628000,1.056233772,1.70142366,1.869743766,1.420323942,1.583947348,2.323716054
PF3D7_0628100,0.805515596,1.266720164,1.291324006,0.939432057,1.221183345,0.925186559
PF3D7_0628200,1.938359613,2.956835707,3.51414431,2.623837641,3.630325919,3.231943025
PF3D7_0628300.1,0.648171355,1.027638008,1.133196329,0.494229079,0.659540306,0.790492599
PF3D7_0628400,1.508540128,1.450209719,0.744633219,0.350759187,1.340282762,1.250795525
PF3D7_0628600,2.160173746,2.848894803,1.829251051,1.488509985,2.081151418,2.540409275
PF3D7_0628700,1.249138102,1.655237332,1.124826952,1.615979821,0.848460986,1.627137302
PF3D7_0628800,0.321362756,0.911773612,1.579979562,0.776968409,1.552456889,1.069922588
PF3D7_0629100,1.846578304,2.070516645,1.883674962,1.025047966,1.69137661,1.669814685
PF3D7_0629200,1.878923925,1.963102559,1.265147162,0.625827212,1.858128789,1.693892691
